accuracy,id,lat,lng,speed,time,type,state,stepCount
24.6,0,37.488100,126.679950,6.35,4789733287141834752,START,AUTOMOBILE,0
29.0,0,37.487835,126.680010,5.14,4789733287162314752,NORMAL,AUTOMOBILE,0
29.0,0,37.486925,126.679745,7.92,4789733287346634752,NORMAL,AUTOMOBILE,0
29.0,0,37.486877,126.679685,7.56,4789733287350730752,NORMAL,AUTOMOBILE,0
29.0,0,37.486830,126.679629,7.15,4789733287354826752,NORMAL,AUTOMOBILE,0
29.0,0,37.486786,126.679577,6.79,4789733287358922752,NORMAL,AUTOMOBILE,0
29.0,0,37.486739,126.679529,6.74,4789733287363018752,NORMAL,AUTOMOBILE,0
29.0,0,37.486690,126.679483,6.79,4789733287367114752,NORMAL,AUTOMOBILE,0
29.0,0,37.486639,126.679434,7.15,4789733287371210752,NORMAL,STATION,0
224.7,0,37.483415,126.674932,0.00,4789733287776714752,STOP,AUTOMOBILE,0
29.0,0,37.482586,126.674297,6.38,4789733287809482752,NORMAL,STATION,0
29.0,0,37.482790,126.674167,7.97,4789733287817674752,NORMAL,AUTOMOBILE,0
29.0,0,37.482861,126.674125,8.75,4789733287821770752,NORMAL,AUTOMOBILE,0
29.0,0,37.482905,126.674013,9.52,4789733287825866752,NORMAL,AUTOMOBILE,0
29.0,0,37.483030,126.674051,10.39,4789733287829962752,NORMAL,AUTOMOBILE,0
29.0,0,37.483123,126.674015,10.70,4789733287834058752,NORMAL,AUTOMOBILE,0
29.0,0,37.483210,126.673982,11.16,4789733287838154752,NORMAL,AUTOMOBILE,0
29.0,0,37.483305,126.673941,11.11,4789733287842250752,NORMAL,AUTOMOBILE,0
29.0,0,37.483400,126.673889,11.58,4789733287846346752,NORMAL,AUTOMOBILE,0
29.0,0,37.483489,126.673823,11.47,4789733287850442752,NORMAL,AUTOMOBILE,0
29.0,0,37.483569,126.673746,11.16,4789733287854538752,NORMAL,AUTOMOBILE,0
29.0,0,37.483646,126.673666,11.11,4789733287858634752,NORMAL,AUTOMOBILE,0
29.0,0,37.483686,126.673523,10.34,4789733287862730752,NORMAL,AUTOMOBILE,0
29.0,0,37.483775,126.673465,10.34,4789733287866826752,NORMAL,AUTOMOBILE,0
29.0,0,37.483854,126.673422,9.57,4789733287870922752,NORMAL,AUTOMOBILE,0
29.0,0,37.483947,126.673445,8.75,4789733287875018752,NORMAL,AUTOMOBILE,0
29.0,0,37.484016,126.673422,8.75,4789733287879114752,NORMAL,AUTOMOBILE,0
29.0,0,37.484094,126.673419,8.80,4789733287883210752,NORMAL,AUTOMOBILE,0
29.0,0,37.484172,126.673431,8.69,4789733287887306752,NORMAL,AUTOMOBILE,0
29.0,0,37.484248,126.673460,8.80,4789733287891402752,NORMAL,AUTOMOBILE,0
29.0,0,37.484319,126.673501,8.75,4789733287895498752,NORMAL,AUTOMOBILE,0
29.0,0,37.484385,126.673548,8.33,4789733287899594752,NORMAL,STATION,0
29.0,0,37.484838,126.670737,9.11,4789733288014282752,NORMAL,AUTOMOBILE,0
29.0,0,37.484840,126.670670,9.88,4789733288018378752,NORMAL,AUTOMOBILE,0
29.0,0,37.484801,126.670555,9.98,4789733288022474752,NORMAL,AUTOMOBILE,0
29.0,0,37.484805,126.670439,10.34,4789733288026570752,NORMAL,AUTOMOBILE,0
29.0,0,37.484810,126.670314,10.75,4789733288030666752,NORMAL,AUTOMOBILE,0
29.0,0,37.484815,126.670184,11.52,4789733288034762752,NORMAL,AUTOMOBILE,0
29.0,0,37.484819,126.670058,11.16,4789733288038858752,NORMAL,AUTOMOBILE,0
29.0,0,37.484824,126.669932,11.11,4789733288042954752,NORMAL,AUTOMOBILE,0
29.0,0,37.484828,126.669815,10.34,4789733288047050752,NORMAL,AUTOMOBILE,0
29.0,0,37.484832,126.669696,10.29,4789733288051146752,NORMAL,AUTOMOBILE,0
29.0,0,37.484837,126.669574,10.80,4789733288055242752,NORMAL,AUTOMOBILE,0
29.0,0,37.484841,126.669453,10.70,4789733288059338752,NORMAL,AUTOMOBILE,0
29.0,0,37.484846,126.669332,10.75,4789733288063434752,NORMAL,AUTOMOBILE,0
29.0,0,37.484850,126.669215,10.29,4789733288067530752,NORMAL,AUTOMOBILE,0
29.0,0,37.484855,126.669094,10.75,4789733288071626752,NORMAL,AUTOMOBILE,0
29.0,0,37.484860,126.668960,11.52,4789733288075722752,NORMAL,AUTOMOBILE,0
29.0,0,37.484865,126.668821,12.35,4789733288079818752,NORMAL,AUTOMOBILE,0
29.0,0,37.484870,126.668677,12.71,4789733288083914752,NORMAL,AUTOMOBILE,0
29.0,0,37.484876,126.668529,13.12,4789733288088010752,NORMAL,AUTOMOBILE,0
29.0,0,37.484881,126.668390,12.35,4789733288092106752,NORMAL,AUTOMOBILE,0
29.0,0,37.484886,126.668255,11.88,4789733288096202752,NORMAL,AUTOMOBILE,0
29.0,0,37.484891,126.668125,11.52,4789733288100298752,NORMAL,AUTOMOBILE,0
29.0,0,37.484896,126.667994,11.16,4789733288104394752,NORMAL,AUTOMOBILE,0
29.0,0,37.484902,126.667869,11.11,4789733288108490752,NORMAL,AUTOMOBILE,0
29.0,0,37.484907,126.667747,10.75,4789733288112586752,NORMAL,STATION,0
29.0,0,37.484995,126.665912,0.00,4789733288481226752,STOP,AUTOMOBILE,0
24.4,0,37.485016,126.664540,8.98,4789733288600010752,NORMAL,STATION,0
53.9,0,37.484945,126.663734,0.00,4789733289005514752,STOP,AUTOMOBILE,0
24.5,0,37.485085,126.662678,6.65,4789733289120202752,NORMAL,STATION,0
29.0,0,37.485145,126.661579,0.00,4789733289234890752,STOP,AUTOMOBILE,0
29.0,0,37.487099,126.657491,8.33,4789733289886154752,NORMAL,STATION,0
29.0,0,37.487834,126.656099,0.00,4789733290004938752,STOP,STATION,0
24.4,0,37.488540,126.654685,11.43,4789733290471882752,NORMAL,STATION,0
29.0,0,37.489069,126.653794,12.76,4789733290504650752,NORMAL,AUTOMOBILE,0
29.0,0,37.489134,126.653675,12.66,4789733290508746752,NORMAL,AUTOMOBILE,0
29.0,0,37.489198,126.653556,12.76,4789733290512842752,NORMAL,AUTOMOBILE,0
29.0,0,37.489259,126.653427,12.71,4789733290516938752,NORMAL,AUTOMOBILE,0
29.0,0,37.489325,126.653304,13.07,4789733290521034752,NORMAL,AUTOMOBILE,0
29.0,0,37.489390,126.653185,12.71,4789733290525130752,NORMAL,AUTOMOBILE,0
29.0,0,37.489455,126.653062,13.12,4789733290529226752,NORMAL,AUTOMOBILE,0
29.0,0,37.489523,126.652935,13.53,4789733290533322752,NORMAL,AUTOMOBILE,0
29.0,0,37.489591,126.652808,13.53,4789733290537418752,NORMAL,AUTOMOBILE,0
29.0,0,37.489659,126.652681,13.48,4789733290541514752,NORMAL,AUTOMOBILE,0
29.0,0,37.489729,126.652551,13.94,4789733290545610752,NORMAL,AUTOMOBILE,0
29.0,0,37.489800,126.652421,13.94,4789733290549706752,NORMAL,AUTOMOBILE,0
29.0,0,37.489871,126.652292,13.84,4789733290553802752,NORMAL,STATION,0
