accuracy,id,lat,lng,speed,time,type,state,stepCount
63.6,0,36.631887,127.327813,0.00,4789731593540042752,START,AUTOMOBILE,652
19.4,0,36.632422,127.326940,0.11,4789731593798090752,STOP,AUTOMOBILE,652
8.2,0,36.633248,127.320926,1.24,4789731594580426752,NORMAL,AUTOMOBILE,652
8.2,0,36.633182,127.320893,4.47,4789731594584522752,NORMAL,AUTOMOBILE,652
8.2,0,36.633129,127.320865,5.40,4789731594588618752,NORMAL,AUTOMOBILE,652
8.2,0,36.633082,127.320840,5.40,4789731594592714752,NORMAL,AUTOMOBILE,652
8.2,0,36.633017,127.320803,6.18,4789731594596810752,NORMAL,AUTOMOBILE,652
8.2,0,36.632945,127.320766,7.18,4789731594600906752,NORMAL,AUTOMOBILE,652
8.2,0,36.632866,127.320726,8.44,4789731594605002752,NORMAL,AUTOMOBILE,652
8.2,0,36.632787,127.320686,8.86,4789731594609098752,NORMAL,AUTOMOBILE,652
8.1,0,36.632701,127.320644,9.48,4789731594613194752,NORMAL,AUTOMOBILE,652
8.1,0,36.632618,127.320600,9.59,4789731594617290752,NORMAL,AUTOMOBILE,652
8.1,0,36.632544,127.320538,9.40,4789731594621386752,NORMAL,AUTOMOBILE,652
8.1,0,36.632453,127.320486,10.31,4789731594625482752,NORMAL,AUTOMOBILE,652
8.1,0,36.632360,127.320426,10.85,4789731594629578752,NORMAL,AUTOMOBILE,652
8.1,0,36.632272,127.320362,11.16,4789731594633674752,NORMAL,AUTOMOBILE,652
8.1,0,36.632183,127.320292,11.31,4789731594637770752,NORMAL,AUTOMOBILE,652
8.1,0,36.632103,127.320218,11.63,4789731594641866752,NORMAL,AUTOMOBILE,652
8.1,0,36.632024,127.320139,11.48,4789731594645962752,NORMAL,AUTOMOBILE,652
8.1,0,36.631946,127.320048,11.46,4789731594650058752,NORMAL,AUTOMOBILE,652
8.1,0,36.631873,127.319957,11.28,4789731594654154752,NORMAL,AUTOMOBILE,652
8.1,0,36.631804,127.319865,11.21,4789731594658250752,NORMAL,AUTOMOBILE,652
8.1,0,36.631737,127.319777,11.11,4789731594662346752,NORMAL,AUTOMOBILE,652
8.1,0,36.631672,127.319692,10.65,4789731594666442752,NORMAL,AUTOMOBILE,652
8.1,0,36.631621,127.319625,9.23,4789731594670538752,NORMAL,AUTOMOBILE,652
8.1,0,36.631571,127.319582,7.73,4789731594674634752,NORMAL,AUTOMOBILE,652
8.1,0,36.631540,127.319536,6.58,4789731594678730752,NORMAL,AUTOMOBILE,652
8.1,0,36.631515,127.319485,6.03,4789731594682826752,NORMAL,AUTOMOBILE,652
8.1,0,36.631507,127.319438,4.91,4789731594686922752,NORMAL,AUTOMOBILE,652
8.1,0,36.631499,127.319411,3.69,4789731594691018752,NORMAL,AUTOMOBILE,652
8.1,0,36.631473,127.319406,3.09,4789731594695114752,NORMAL,AUTOMOBILE,652
8.1,0,36.631454,127.319408,3.08,4789731594699210752,NORMAL,AUTOMOBILE,652
8.1,0,36.631460,127.319423,3.12,4789731594703306752,NORMAL,AUTOMOBILE,652
13.3,0,36.631483,127.319460,3.59,4789731594707402752,NORMAL,AUTOMOBILE,652
15.3,0,36.631514,127.319510,4.39,4789731594711498752,NORMAL,AUTOMOBILE,652
8.1,0,36.631476,127.319660,5.20,4789731594715594752,NORMAL,AUTOMOBILE,652
8.1,0,36.631517,127.319714,5.52,4789731594719690752,NORMAL,AUTOMOBILE,652
8.1,0,36.631552,127.319755,4.83,4789731594723786752,NORMAL,AUTOMOBILE,652
8.1,0,36.631563,127.319777,3.42,4789731594727882752,NORMAL,AUTOMOBILE,652
8.1,0,36.631559,127.319794,2.21,4789731594731978752,NORMAL,AUTOMOBILE,652
8.1,0,36.631552,127.319815,1.93,4789731594736074752,NORMAL,AUTOMOBILE,652
8.1,0,36.631541,127.319833,1.80,4789731594740170752,NORMAL,AUTOMOBILE,652
8.1,0,36.631530,127.319844,1.55,4789731594744266752,NORMAL,AUTOMOBILE,652
8.1,0,36.631517,127.319853,1.63,4789731594748362752,NORMAL,AUTOMOBILE,652
8.1,0,36.631506,127.319876,2.20,4789731594752458752,NORMAL,AUTOMOBILE,652
8.1,0,36.631504,127.319901,2.00,4789731594756554752,NORMAL,AUTOMOBILE,652
8.1,0,36.631513,127.319923,1.96,4789731594760650752,NORMAL,AUTOMOBILE,652
8.1,0,36.631529,127.319936,1.70,4789731594764746752,NORMAL,AUTOMOBILE,652
8.1,0,36.631543,127.319952,1.61,4789731594768842752,NORMAL,AUTOMOBILE,652
8.1,0,36.631555,127.319966,1.79,4789731594772938752,NORMAL,AUTOMOBILE,652
8.1,0,36.631575,127.319988,2.36,4789731594777034752,NORMAL,AUTOMOBILE,652
8.1,0,36.631590,127.320005,2.44,4789731594781130752,NORMAL,AUTOMOBILE,652
8.1,0,36.631605,127.320024,2.54,4789731594785226752,NORMAL,AUTOMOBILE,652
8.1,0,36.631619,127.320046,2.48,4789731594789322752,NORMAL,AUTOMOBILE,652
8.1,0,36.631633,127.320062,2.34,4789731594793418752,NORMAL,AUTOMOBILE,652
8.1,0,36.631648,127.320079,2.35,4789731594797514752,NORMAL,AUTOMOBILE,652
8.1,0,36.631666,127.320103,2.70,4789731594801610752,NORMAL,AUTOMOBILE,652
8.1,0,36.631689,127.320131,3.21,4789731594805706752,NORMAL,AUTOMOBILE,652
8.1,0,36.631709,127.320154,3.20,4789731594809802752,NORMAL,AUTOMOBILE,652
8.1,0,36.631731,127.320179,3.29,4789731594813898752,NORMAL,AUTOMOBILE,652
8.1,0,36.631751,127.320201,3.15,4789731594817994752,NORMAL,AUTOMOBILE,652
8.1,0,36.631772,127.320225,3.15,4789731594822090752,NORMAL,AUTOMOBILE,652
8.1,0,36.631792,127.320245,2.79,4789731594826186752,NORMAL,AUTOMOBILE,652
8.1,0,36.631803,127.320266,2.35,4789731594830282752,NORMAL,AUTOMOBILE,652
8.1,0,36.631807,127.320278,1.47,4789731594834378752,NORMAL,AUTOMOBILE,652
8.1,0,36.631806,127.320289,1.00,4789731594838474752,STOP,AUTOMOBILE,652
8.1,0,36.631806,127.320289,1.00,4789731599831645852,END,,0
