accuracy,id,lat,lng,speed,time,type,state,stepCount
87.9,0,37.524240,126.684922,0.00,4789718215754186752,START,WALK,37
23.7,0,37.524593,126.682815,9.09,4789718215827914752,NORMAL,WALK,37
23.5,0,37.524636,126.681500,11.04,4789718215872970752,NORMAL,WALK,8
24.3,0,37.524652,126.680365,8.55,4789718215897546752,NORMAL,WALK,8
24.3,0,37.524671,126.680118,4.98,4789718215913930752,NORMAL,AUTOMOBILE,8
24.7,0,37.524739,126.678451,2.94,4789718216307146752,NORMAL,AUTOMOBILE,8
24.3,0,37.524476,126.677225,10.55,4789718216495562752,NORMAL,AUTOMOBILE,8
24.3,0,37.523280,126.677190,14.41,4789718216544714752,NORMAL,AUTOMOBILE,13
24.3,0,37.522225,126.677294,8.42,4789718216585674752,NORMAL,AUTOMOBILE,13
24.3,0,37.522282,126.677478,9.07,4789718216589770752,NORMAL,AUTOMOBILE,13
24.3,0,37.522014,126.678711,14.57,4789718216626634752,NORMAL,AUTOMOBILE,13
24.3,0,37.521952,126.678844,14.01,4789718216630730752,NORMAL,AUTOMOBILE,13
24.3,0,37.521139,126.679870,9.74,4789718216671690752,NORMAL,AUTOMOBILE,13
24.3,0,37.521079,126.679934,8.74,4789718216675786752,NORMAL,AUTOMOBILE,13
24.3,0,37.520015,126.679942,8.98,4789718216843722752,NORMAL,AUTOMOBILE,13
24.3,0,37.519827,126.679585,9.08,4789718216860106752,NORMAL,AUTOMOBILE,13
24.3,0,37.519103,126.678679,10.42,4789718216958410752,NORMAL,AUTOMOBILE,13
24.3,0,37.518082,126.677945,10.72,4789718217007562752,NORMAL,AUTOMOBILE,13
24.3,0,37.516939,126.677397,13.53,4789718217052618752,NORMAL,AUTOMOBILE,13
24.3,0,37.515946,126.677110,14.45,4789718217085386752,NORMAL,AUTOMOBILE,13
24.3,0,37.515689,126.677059,14.30,4789718217093578752,NORMAL,AUTOMOBILE,13
24.3,0,37.514652,126.676928,14.47,4789718217126346752,NORMAL,AUTOMOBILE,13
24.3,0,37.514390,126.676912,14.44,4789718217134538752,NORMAL,AUTOMOBILE,13
24.3,0,37.513309,126.676856,4.40,4789718217179594752,NORMAL,AUTOMOBILE,13
24.3,0,37.513204,126.678198,5.25,4789718217273802752,NORMAL,AUTOMOBILE,9
24.3,0,37.512176,126.678785,3.84,4789718217474506752,NORMAL,AUTOMOBILE,3
24.3,0,37.511135,126.678759,12.08,4789718217540042752,NORMAL,AUTOMOBILE,3
24.3,0,37.510110,126.678669,5.26,4789718217585098752,NORMAL,AUTOMOBILE,3
24.3,0,37.509079,126.678606,0.00,4789718217789898752,STOP,AUTOMOBILE,10
24.3,0,37.507840,126.678517,10.17,4789718217925066752,NORMAL,STATION,10
24.3,0,37.506949,126.678495,10.42,4789718217961930752,NORMAL,AUTOMOBILE,8
24.3,0,37.506863,126.678491,9.63,4789718217966026752,NORMAL,AUTOMOBILE,8
24.3,0,37.506512,126.678479,0.00,4789718218088906752,STOP,AUTOMOBILE,1
24.3,0,37.505307,126.678433,10.63,4789718218502602752,NORMAL,AUTOMOBILE,1
24.3,0,37.504161,126.678333,7.96,4789718218551754752,NORMAL,AUTOMOBILE,1
24.3,0,37.503015,126.678291,9.05,4789718218768842752,NORMAL,AUTOMOBILE,1
24.3,0,37.501817,126.678167,13.61,4789718218813898752,NORMAL,AUTOMOBILE,1
24.3,0,37.500757,126.678133,4.55,4789718218969546752,NORMAL,AUTOMOBILE,1
24.3,0,37.499694,126.678086,8.16,4789718219026890752,NORMAL,AUTOMOBILE,1
24.3,0,37.498479,126.678097,6.98,4789718219317706752,NORMAL,AUTOMOBILE,9
24.3,0,37.498447,126.678173,7.37,4789718219321802752,NORMAL,AUTOMOBILE,9
24.3,0,37.498020,126.679530,7.25,4789718219432394752,NORMAL,AUTOMOBILE,9
24.3,0,37.497576,126.680907,8.35,4789718219682250752,NORMAL,AUTOMOBILE,9
24.3,0,37.497001,126.682211,5.32,4789718219801034752,NORMAL,AUTOMOBILE,2
24.3,0,37.496435,126.683549,4.53,4789718219928010752,NORMAL,AUTOMOBILE,2
24.3,0,37.495397,126.682685,7.35,4789718220014026752,NORMAL,AUTOMOBILE,2
24.3,0,37.494482,126.681728,10.66,4789718220222922752,NORMAL,AUTOMOBILE,2
24.3,0,37.493565,126.680752,8.88,4789718220272074752,NORMAL,AUTOMOBILE,8
24.3,0,37.493247,126.680396,0.00,4789718220554698752,STOP,AUTOMOBILE,8
24.3,0,37.492269,126.680257,8.95,4789718220620234752,NORMAL,AUTOMOBILE,8
24.3,0,37.491131,126.680230,6.56,4789718220734922752,NORMAL,AUTOMOBILE,8
24.3,0,37.490117,126.680054,0.80,4789718220865994752,STOP,AUTOMOBILE,20
24.3,0,37.490117,126.680054,0.80,4789718222578827272,END,,0
