accuracy,id,lat,lng,speed,time,type,state,stepCount
29.0,0,37.525678,126.647622,6.38,4789741579485642752,START,AUTOMOBILE,0
29.0,0,37.525680,126.648861,10.75,4789741580177866752,NORMAL,AUTOMOBILE,0
29.0,0,37.525683,126.650245,17.49,4789741580210634752,NORMAL,AUTOMOBILE,0
29.0,0,37.525684,126.650459,17.90,4789741580214730752,NORMAL,AUTOMOBILE,0
29.0,0,37.525683,126.650662,17.95,4789741580218826752,NORMAL,AUTOMOBILE,0
29.0,0,37.525682,126.650878,19.14,4789741580222922752,NORMAL,AUTOMOBILE,0
29.0,0,37.525682,126.651095,19.14,4789741580227018752,NORMAL,AUTOMOBILE,0
29.0,0,37.525682,126.651316,19.55,4789741580231114752,NORMAL,AUTOMOBILE,0
29.0,0,37.525683,126.651546,20.32,4789741580235210752,NORMAL,STATION,0
29.0,0,37.525684,126.652240,19.96,4789741580247498752,NORMAL,STATION,0
29.0,0,37.525667,126.653358,19.45,4789741580267978752,NORMAL,AUTOMOBILE,0
29.0,0,37.525667,126.653534,19.55,4789741580272074752,NORMAL,AUTOMOBILE,0
29.0,0,37.525669,126.653754,19.55,4789741580276170752,NORMAL,AUTOMOBILE,0
29.0,0,37.525672,126.653971,19.14,4789741580280266752,NORMAL,AUTOMOBILE,0
29.0,0,37.525673,126.654183,18.67,4789741580284362752,NORMAL,AUTOMOBILE,0
29.0,0,37.525674,126.654395,18.73,4789741580288458752,NORMAL,AUTOMOBILE,0
29.0,0,37.525677,126.654609,18.01,4789741580292554752,NORMAL,AUTOMOBILE,0
29.0,0,37.525677,126.654807,17.49,4789741580296650752,NORMAL,AUTOMOBILE,0
29.0,0,37.525678,126.655006,17.54,4789741580300746752,NORMAL,AUTOMOBILE,0
29.0,0,37.525678,126.655195,16.72,4789741580304842752,NORMAL,AUTOMOBILE,0
29.0,0,37.525678,126.655384,16.77,4789741580308938752,NORMAL,AUTOMOBILE,0
29.0,0,37.525678,126.655564,15.90,4789741580313034752,NORMAL,STATION,0
29.0,0,37.525684,126.657497,15.12,4789741580366282752,NORMAL,AUTOMOBILE,0
29.0,0,37.525683,126.657675,14.76,4789741580370378752,NORMAL,AUTOMOBILE,0
29.0,0,37.525683,126.657851,15.48,4789741580374474752,NORMAL,AUTOMOBILE,0
29.0,0,37.525684,126.658027,15.54,4789741580378570752,NORMAL,AUTOMOBILE,0
29.0,0,37.525684,126.658198,15.12,4789741580382666752,NORMAL,AUTOMOBILE,0
29.0,0,37.525684,126.658369,15.12,4789741580386762752,NORMAL,AUTOMOBILE,0
29.0,0,37.525682,126.658531,14.30,4789741580390858752,NORMAL,AUTOMOBILE,0
29.0,0,37.525676,126.658693,14.40,4789741580394954752,NORMAL,AUTOMOBILE,0
29.0,0,37.525668,126.658851,13.94,4789741580399050752,NORMAL,AUTOMOBILE,0
29.0,0,37.525659,126.659040,13.89,4789741580403146752,NORMAL,AUTOMOBILE,0
29.0,0,37.525650,126.659165,13.99,4789741580407242752,NORMAL,AUTOMOBILE,0
29.0,0,37.525636,126.659358,14.35,4789741580411338752,NORMAL,AUTOMOBILE,0
29.0,0,37.525625,126.659520,14.35,4789741580415434752,NORMAL,AUTOMOBILE,0
