accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
86.6,0,37.387617,126.639940,0.00,1693470355000,START,WALK,0,
8.1,0,37.387912,126.639039,0.23,1693470400000,NORMAL,WALK,10,2ACA4240-13EE-11E4-9416-0002A5D5C51B#51065#39934
8.1,0,37.387912,126.639039,0.23,1693470400000,NORMAL,WALK,10,2ACA4240-13EE-11E4-9416-0002A5D5C51B#51065#39934
77.0,0,37.387597,126.639927,0.00,1693470479000,NORMAL,WALK,71,2ACA4240-13EE-11E4-9416-0002A5D5C51B#65342#21752
77.0,0,37.387597,126.639927,0.00,1693470479000,NORMAL,WALK,71,2ACA4240-13EE-11E4-9416-0002A5D5C51B#65342#21752
77.0,0,37.387597,126.639927,0.00,1693470481088,END,,0,
