Label,Frequency
"('UIBCDCA', 'UIBCDAC')",83
"('UIBCDAC', 'UIBCCBD')",77
"('UIBCCDB', 'UIBCCBD')",56
"('UIDABAB', 'UIDAABD')",1
"('UIBCCDA', 'UIBCCCB')",2
"('UIBCCCB', 'UIBCCCA')",3
"('UIBCCCC', 'UIBCCAC')",1
"('UIBCCAC', 'UIBCCAD')",9
"('UIBCCAD', 'UIBCCCB')",16
"('UIBCCCB', 'UIBCCDA')",13
"('UIBCCDA', 'UIBCCBD')",10
"('UIBCCBC', 'UIBCCDA')",15
"('UIBCCDA', 'UIBCCDC')",4
"('UIBCCDC', 'UIBCCCD')",6
"('UIBCCCD', 'UIDAAAB')",4
"('UIDAAAB', 'UIDAAAA')",5
"('UIDAAAA', 'UIDAAAB')",4
"('UIDAAAB', 'UIDAAAD')",4
"('UIDAAAD', 'UIDACCB')",3
"('UIDACCB', 'UIDACCD')",2
"('UIDACCD', 'UIDCAAB')",2
"('UIDCAAB', 'UIDCAAA')",2
"('UIDCAAA', 'UIDCAAC')",2
"('UIDCAAC', 'UIDCACA')",1
"('UIDCACA', 'UIDCACB')",1
"('UIDCACB', 'UIDCADA')",1
"('UIDCADA', 'UIDCADC')",1
"('UIDCADC', 'UIDCCBA')",1
"('UIDCCBA', 'UIDCCBB')",1
"('UIDCCBB', 'UIDCCBD')",1
"('UIDCCBD', 'UIDCDAC')",1
"('UIDCDAC', 'UIDCDCA')",1
"('UIDCDCA', 'UIDCDCB')",1
"('UIDCDCB', 'UIDCDCD')",1
"('UIDCDCD', 'UIDCDCB')",2
"('UIDCDCB', 'UIDCDDA')",2
"('UIDCDDA', 'UIDCDBC')",2
"('UIDCDBC', 'UIDCDBD')",2
"('UIDCDBB', 'UIDDCAA')",2
"('UIDDCAA', 'UIDDACC')",2
"('UIDDACC', 'UIDDACA')",2
"('UIDDACA', 'UIDDAAC')",2
"('UIDDAAC', 'UIDCBBD')",2
"('UIDCBBD', 'UIDCBBB')",2
"('UIDCBBB', 'UIDADDD')",2
"('UIDADDD', 'UIDADDB')",2
"('UIDADDB', 'UIDADBD')",2
"('UIDADBD', 'UIDADBC')",1
"('UIDADBC', 'UIDADAD')",1
"('UIDADAD', 'UIDADAB')",1
"('UIDADAB', 'UIDADAA')",2
"('UIDADAA', 'UIDACBB')",2
"('UIDACBB', 'UIDAADD')",2
"('UIDAADD', 'UIDAADB')",3
"('UIDAADB', 'UIDAABD')",4
"('UIDAABD', 'UIDAABB')",4
"('UIDAABB', 'UIBCCDD')",10
"('UIBCCDD', 'UIBCCDB')",15
"('UIBCCBD', 'UIBCDCA')",13
"('UIBCDCA', 'UIBCCBD')",17
"('UIBCCBD', 'UIBCCDB')",105
"('UIBCCDB', 'UIBCDCA')",87
"('UIBCCBD', 'UIBCCBB')",11
"('UIBCCBB', 'UIBCADD')",10
"('UIBCADD', 'UIBCADC')",11
"('UIBCADC', 'UIBCACD')",20
"('UIBCACD', 'UIBCACC')",6
"('UIBCACC', 'UIADBDD')",3
"('UIADBDD', 'UIADDBA')",3
"('UIADDBA', 'UIADDAB')",3
"('UIADDAB', 'UIADDAA')",3
