label,pair,lF,PF,F1,F2,S1,S2,,,,,,,,,,,,,,,,,,,,,,,,,
UIBDBAC,"('', 'UIBDBAC')",19,,N,,AN,N,1,,,,,,,,,,,,,,,,,,,,,,,,
UIBDBAD,"('UIBDBAC', 'UIBDBAD')",14,8,N,N,AN,N,2,,,,,,,,,,,,,,,,,,,,,,,,
UIBDBBC,"('UIBDBAD', 'UIBDBBC')",11,7,N,N,AN,N,3,,,,,,,,,,,,,,,,,,,,,,,,
UIBDBBD,"('UIBDBBC', 'UIBDBBD')",7,3,N,N,AN,N,4,,,,,,,,,,,,,,,,,,,,,,,,
UIBDBBB,"('UIBDBBD', 'UIBDBBB')",8,3,N,N,AN,N,5,,,,,,,,,,,,,,,,,,,,,,,,
UJACAAA,"('UIBDBBB', 'UJACAAA')",8,4,N,N,AN,N,6,,,,,,,,,,,,,,,,,,,,,,,,
UJAACCC,"('UJACAAA', 'UJAACCC')",5,2,N,AN,AN,N,7,,,,,,,,,,,,,,,,,,,,,,,,
UJAACCD,"('UJAACCC', 'UJAACCD')",9,2,N,AN,AN,N,8,,,,,,,,,,,,,,,,,,,,,,,,
UJACAAB,"('UJAACCD', 'UJACAAB')",5,1,N,AN,AN,AN,9,1,,,,,,,,,,,,,,,,,,,,,,,
UJACABA,"('UJACAAB', 'UJACABA')",5,3,N,N,AN,AN,10,,,,,,,,,,,,,,,,,,,,,,,,
UJAACDC,"('UJACABA', 'UJAACDC')",5,1,N,AN,AN,N,11,,,,,,,,,,,,,,,,,,,,,,,,
UJAACCD,"('UJAACDC', 'UJAACCD')",9,3,N,N,AN,N,12,,,,,,,,,,,,,,,,,,,,,,,,
UJAACCB,"('UJAACCD', 'UJAACCB')",10,1,N,AN,AN,AN,13,,,,,,,,,,,,,,,,,,,,,,,,
UJAACCA,"('UJAACCB', 'UJAACCA')",2,1,AN,AN,AN,AN,14,,,,,,,,,,,,,,,,,,,,,,,,
UJAACCB,"('UJAACCA', 'UJAACCB')",10,1,N,AN,AN,AN,15,,,,,,,,,,,,,,,,,,,,,,,,
UJAACAD,"('UJAACCB', 'UJAACAD')",2,0,AN,AN,AN,AN,16,,,,,,,,,,,,,,,,,,,,,,,,
UJAACBC,"('UJAACAD', 'UJAACBC')",1,0,AN,AN,AN,AN,17,,,,,,,,,,,,,,,,,,,,,,,,
UJAACBA,"('UJAACBC', 'UJAACBA')",1,0,AN,AN,AN,AN,1,,,,,,,,,,,,,,,,,,,,,,,,
UJAACBB,"('UJAACBA', 'UJAACBB')",1,0,AN,AN,AN,AN,2,,,,,,,,,,,,,,,,,,,,,,,,
UJAAADD,"('UJAACBB', 'UJAAADD')",1,0,AN,AN,AN,AN,3,,,,,,,,,,,,,,,,,,,,,,,,
UJAAADB,"('UJAAADD', 'UJAAADB')",1,0,AN,AN,AN,AN,4,,,,,,,,,,,,,,,,,,,,,,,,
UJAAABD,"('UJAAADB', 'UJAAABD')",1,0,AN,AN,AN,AN,5,,,,,,,,,,,,,,,,,,,,,,,,
UJAAABC,"('UJAAABD', 'UJAAABC')",0,0,AN,AN,AN,AN,6,,,,,,,,,,,,,,,,,,,,,,,,
UJAAAA,"('UJAAABC', 'UJAAAA')",0,0,AN,AN,AN,AN,7,,,,,,,,,,,,,,,,,,,,,,,,
UJAAABC,"('UJAAAA', 'UJAAABC')",0,0,AN,AN,AN,AN,8,,,,,,,,,,,,,,,,,,,,,,,,
UJAAADA,"('UJAAABC', 'UJAAADA')",0,0,AN,AN,AN,AN,9,2,,,,,,,,,,,,,,,,,,,,,,,
UJAAABC,"('UJAAADA', 'UJAAABC')",0,0,AN,AN,AN,AN,10,,,,,,,,,,,,,,,,,,,,,,,,
UJAAADB,"('UJAAABC', 'UJAAADB')",1,0,AN,AN,AN,AN,11,,,,,,,,,,,,,,,,,,,,,,,,
UJAAABD,"('UJAAADB', 'UJAAABD')",1,0,AN,AN,AN,AN,12,,,,,,,,,,,,,,,,,,,,,,,,
UJAABAA,"('UJAAABD', 'UJAABAA')",1,0,AN,AN,AN,AN,13,,,,,,,,,,,,,,,,,,,,,,,,
VJCCDCC,"('UJAABAA', 'VJCCDCC')",1,0,AN,AN,AN,AN,14,,,,,,,,,,,,,,,,,,,,,,,,
