pair,F2,S1,S2,lF,PF
"('VJDCBAB', 'VJDCBBA')",AN,,,,0
"('VJDCBBA', 'VJDADDC')",AN,,,,0
"('VJDADDC', 'VJDADDD')",AN,,,,0
"('VJDADDD', 'VJDB')",AN,,,,0
"('VJDB', 'VJDDAA')",AN,,,,0
"('VJDDAA', 'VJDDABA')",AN,,,,0
"('VJDDABA', 'VJDDABB')",AN,,,,0
"('VJDDABB', 'VJDDABD')",AN,,,,0
"('VJDDABD', 'VJDDBAC')",AN,,,,0
"('VJDDBAC', 'VJDDBCA')",AN,,,,0
"('VJDDBCA', 'VJDDBCB')",AN,,,,0
"('VJDDBCB', 'VJDDBCD')",AN,,,,0
"('VJDDBCD', 'VJDDBD')",AN,,,,0
"('VJDDBD', 'VJDDD')",AN,,,,0
"('VJDDD', 'VKCCCAA')",AN,,,,0
"('VKCCCAA', 'VKCCCAC')",AN,,,,0
"('VKCCCAC', 'VKCCCAD')",AN,,,,0
"('VKCCCAD', 'VKCCCB')",AN,,,,0
"('VKCCCB', 'VKCCCDA')",AN,,,,0
"('VKCCCDA', 'VKCCCDB')",AN,,,,0
"('VKCCCDB', 'VKCCCDD')",AN,,,,0
"('VKCCCDD', 'VKCCDCC')",AN,,,,0
"('VKCCDCC', 'UKAABAA')",AN,,,,0
"('UKAABAA', 'UKAABAB')",AN,,,,0
"('UKAABAB', 'UKAABAD')",AN,,,,0
"('UKAABAD', 'UKAABBC')",AN,,,,0
"('UKAABBC', 'UKAABBD')",AN,,,,0
"('UKAABBD', 'UKABAAC')",AN,,,,0
"('UKABAAC', 'UKABAAA')",AN,,,,0
"('UKABAAA', 'UKABAAB')",AN,,,,0
"('UKABAAB', 'UKABABA')",AN,,,,0
"('UKABABA', 'UKABABB')",AN,,,,0
"('UKABABB', 'UKABBAA')",AN,,,,0
"('UKABBAA', 'UKABBAB')",AN,,,,0
"('UKABBAB', 'UKABBBA')",AN,,,,0
"('UKABBBA', 'UKABBBB')",AN,,,,0
"('UKABBBB', 'VKCDDDD')",AN,,,,0
"('VKCDDDD', 'VKDCCCC')",AN,,,,0
"('VKDCCCC', 'VKDCCCA')",AN,,,,0
"('VKDCCCA', 'VKDCCCB')",AN,,,,0
"('VKDCCCB', 'VKDCCDC')",AN,,,,0
"('VKDCCDC', 'VKDCCDD')",AN,,,,0
"('VKDCCDD', 'UKBAA')",AN,,,,0
"('UKBAA', 'UKBABAA')",AN,,,,0
"('UKBABAA', 'UKBABAB')",AN,,,,0
"('UKBABAB', 'UKBABBA')",AN,,,,0
"('UKBABBA', 'UKBABBC')",AN,,,,0
"('UKBABBC', 'UKBABBD')",AN,,,,0
"('UKBABBD', 'UKBBAAC')",AN,,,,1
"('UKBBAAC', 'UKBBAC')",AN,,,,0
"('UKBBAC', 'UKBBAD')",AN,,,,0
"('UKBBAD', 'UKBBB')",AN,,,,0
"('UKBBB', 'ULAA')",AN,,,,0
"('ULAA', 'ULAB')",AN,,,,0
"('ULAB', 'VLCDCDC')",AN,,,,0
"('VLCDCDC', 'VLCDCDD')",AN,,,,0
"('VLCDCDD', 'VLCDCDB')",AN,,,,0
"('VLCDCDB', 'VLCDCBD')",AN,,,,0
"('VLCDCBD', 'VLCDDAC')",AN,,,,0
"('VLCDDAC', 'VLCDDAD')",AN,,,,0
"('VLCDDAD', 'VLCDDAB')",AN,,,,0
"('VLCDDAB', 'VLCDDBA')",AN,,,,0
"('VLCDDBA', 'VLCDDBB')",AN,,,,0
"('VLCDDBB', 'VLCDB')",AN,,,,0
"('VLCDB', 'VLDCACC')",AN,,,,0
"('VLDCACC', 'VLDCACA')",AN,,,,0
