accuracy,id,lat,lng,speed,time,type,state,stepCount
87.7,0,37.568262,126.640607,0.00,4789739088650698752,START,WALK,179
42.6,0,37.561638,126.637541,10.49,4789739089551818752,NORMAL,WALK,20
8.1,0,37.561211,126.636574,6.00,4789739089973706752,NORMAL,AUTOMOBILE,20
8.2,0,37.560176,126.636999,7.01,4789739090182602752,NORMAL,AUTOMOBILE,20
8.1,0,37.559323,126.637423,2.30,4789739090264522752,NORMAL,AUTOMOBILE,20
8.1,0,37.558434,126.637508,8.52,4789739090817482752,NORMAL,AUTOMOBILE,20
8.1,0,37.557653,126.638177,4.41,4789739091427786752,NORMAL,AUTOMOBILE,20
8.1,0,37.557271,126.639070,4.10,4789739091861962752,NORMAL,AUTOMOBILE,20
8.1,0,37.556776,126.640207,2.48,4789739092185546752,NORMAL,AUTOMOBILE,20
8.1,0,37.556394,126.641143,3.20,4789739092484554752,NORMAL,STATION,20
8.1,0,37.556017,126.642000,1.22,4789739092758986752,NORMAL,AUTOMOBILE,20
8.1,0,37.555541,126.643054,5.83,4789739093082570752,NORMAL,AUTOMOBILE,20
8.1,0,37.555094,126.644070,8.91,4789739093672394752,NORMAL,AUTOMOBILE,20
8.1,0,37.554700,126.644952,0.00,4789739093803466752,STOP,AUTOMOBILE,20
8.1,0,37.554281,126.645902,5.81,4789739093959114752,NORMAL,STATION,20
8.1,0,37.553903,126.646752,9.01,4789739094008266752,NORMAL,AUTOMOBILE,20
8.1,0,37.553473,126.647728,10.79,4789739094045130752,NORMAL,AUTOMOBILE,20
8.2,0,37.553424,126.647837,10.95,4789739094049226752,NORMAL,AUTOMOBILE,20
8.1,0,37.552953,126.648984,6.99,4789739094098378752,NORMAL,AUTOMOBILE,20
8.1,0,37.552608,126.649912,4.89,4789739094221258752,NORMAL,AUTOMOBILE,20
8.1,0,37.551574,126.650047,13.85,4789739094274506752,NORMAL,AUTOMOBILE,20
8.1,0,37.550535,126.650054,14.11,4789739094307274752,NORMAL,AUTOMOBILE,20
8.1,0,37.550279,126.650053,14.18,4789739094315466752,NORMAL,AUTOMOBILE,20
8.1,0,37.549365,126.650038,12.79,4789739094348234752,NORMAL,AUTOMOBILE,20
24.3,0,37.549133,126.650034,12.68,4789739094356426752,NORMAL,AUTOMOBILE,20
24.3,0,37.547969,126.650015,13.82,4789739094397386752,NORMAL,AUTOMOBILE,20
24.3,0,37.547842,126.650013,14.04,4789739094401482752,NORMAL,AUTOMOBILE,20
24.3,0,37.546658,126.649998,14.41,4789739094438346752,NORMAL,AUTOMOBILE,20
24.3,0,37.546206,126.649985,10.52,4789739094454730752,NORMAL,AUTOMOBILE,20
24.3,0,37.545124,126.649959,7.10,4789739094532554752,NORMAL,AUTOMOBILE,20
24.3,0,37.544005,126.649933,10.50,4789739094585802752,NORMAL,AUTOMOBILE,20
24.3,0,37.542818,126.649902,4.71,4789739094639050752,NORMAL,AUTOMOBILE,20
24.3,0,37.541600,126.649819,8.78,4789739094786506752,NORMAL,AUTOMOBILE,20
24.3,0,37.540970,126.649805,0.00,4789739094905290752,STOP,AUTOMOBILE,20
24.3,0,37.540256,126.650928,12.66,4789739095339466752,NORMAL,STATION,20
24.3,0,37.540246,126.652237,4.31,4789739095396810752,NORMAL,AUTOMOBILE,20
24.3,0,37.540251,126.653638,10.59,4789739095454154752,NORMAL,AUTOMOBILE,20
24.3,0,37.540272,126.655169,11.46,4789739095503306752,NORMAL,AUTOMOBILE,20
24.3,0,37.540136,126.656426,5.62,4789739095564746752,NORMAL,AUTOMOBILE,20
24.3,0,37.539090,126.656430,8.76,4789739095617994752,NORMAL,AUTOMOBILE,20
24.3,0,37.538054,126.656410,10.26,4789739095671242752,NORMAL,AUTOMOBILE,20
24.3,0,37.537012,126.656419,7.41,4789739095839178752,NORMAL,AUTOMOBILE,20
24.3,0,37.536406,126.656419,0.00,4789739096138186752,STOP,AUTOMOBILE,20
24.3,0,37.535355,126.656423,11.96,4789739096232394752,NORMAL,STATION,20
24.3,0,37.534254,126.656458,5.16,4789739096289738752,NORMAL,AUTOMOBILE,20
24.3,0,37.533629,126.657601,4.21,4789739096478154752,NORMAL,AUTOMOBILE,20
1465.1,0,37.531531,126.641522,0.00,4789739100316106752,STOP,AUTOMOBILE,45
1465.1,0,37.531531,126.641522,0.00,4789739137588092559,END,,0
