accuracy,id,lat,lng,speed,time,type,state,stepCount
52.3,0,36.824437,127.125912,0.00,4789724511470026752,START,AUTOMOBILE,65
158.8,0,36.823296,127.119147,0.00,4789724511834570752,STOP,AUTOMOBILE,65
23.7,0,36.805422,127.113090,13.70,4789724512616906752,NORMAL,STATION,65
34.6,0,36.804995,127.112933,13.58,4789724512633290752,NORMAL,AUTOMOBILE,65
28.0,0,36.803966,127.112626,15.78,4789724512661962752,NORMAL,AUTOMOBILE,65
27.8,0,36.803558,127.112485,15.98,4789724512674250752,NORMAL,AUTOMOBILE,65
23.2,0,36.802415,127.112206,14.64,4789724512711114752,NORMAL,AUTOMOBILE,65
23.3,0,36.802290,127.112181,14.62,4789724512715210752,NORMAL,AUTOMOBILE,65
24.4,0,36.801230,127.111926,18.40,4789724512747978752,NORMAL,AUTOMOBILE,65
24.4,0,36.800896,127.111748,20.74,4789724512756170752,NORMAL,AUTOMOBILE,65
24.4,0,36.800163,127.110743,20.34,4789724512780746752,NORMAL,AUTOMOBILE,65
24.3,0,36.799620,127.110127,19.30,4789724512801226752,NORMAL,AUTOMOBILE,65
24.3,0,36.798620,127.109520,20.48,4789724512821706752,NORMAL,AUTOMOBILE,65
24.3,0,36.798090,127.109013,12.48,4789724512842186752,NORMAL,AUTOMOBILE,65
24.3,0,36.797520,127.107940,13.85,4789724513104330752,NORMAL,AUTOMOBILE,65
24.2,0,36.797301,127.106687,13.54,4789724513137098752,NORMAL,AUTOMOBILE,65
24.2,0,36.797253,127.106404,13.07,4789724513145290752,NORMAL,AUTOMOBILE,65
24.3,0,36.797005,127.104926,11.56,4789724513194442752,NORMAL,AUTOMOBILE,65
24.1,0,36.796743,127.103567,10.54,4789724513243594752,NORMAL,AUTOMOBILE,65
24.3,0,36.796498,127.102053,15.34,4789724513284554752,NORMAL,AUTOMOBILE,65
24.3,0,36.796471,127.101887,15.06,4789724513288650752,NORMAL,AUTOMOBILE,65
24.3,0,36.795839,127.100854,10.06,4789724513452490752,NORMAL,AUTOMOBILE,65
24.3,0,36.794801,127.101083,15.67,4789724513485258752,NORMAL,AUTOMOBILE,65
24.3,0,36.794536,127.101126,14.40,4789724513493450752,NORMAL,AUTOMOBILE,65
24.3,0,36.793506,127.101396,14.06,4789724513526218752,NORMAL,AUTOMOBILE,65
24.3,0,36.793258,127.101458,13.80,4789724513534410752,NORMAL,AUTOMOBILE,65
24.3,0,36.792200,127.101831,5.22,4789724513661386752,NORMAL,AUTOMOBILE,65
24.3,0,36.792675,127.103164,12.93,4789724513702346752,NORMAL,AUTOMOBILE,65
24.3,0,36.792692,127.103310,13.01,4789724513706442752,NORMAL,AUTOMOBILE,65
24.3,0,36.793796,127.103747,5.59,4789724513767882752,NORMAL,AUTOMOBILE,65
24.3,0,36.793861,127.103773,1.20,4789724513845706752,NORMAL,AUTOMOBILE,20
24.3,0,36.793861,127.103773,1.20,4789724540159024341,END,,0
