accuracy,id,lat,lng,speed,time,type,state,stepCount
42.2,0,37.538987,126.668489,16.09,4789738663719370752,START,AUTOMOBILE,954
22.9,0,37.539567,126.667450,16.70,4789738663748042752,NORMAL,AUTOMOBILE,954
22.9,0,37.539801,126.667015,16.07,4789738663760330752,NORMAL,AUTOMOBILE,954
24.3,0,37.540361,126.665662,14.71,4789738663797194752,NORMAL,AUTOMOBILE,954
24.3,0,37.540384,126.665518,13.60,4789738663801290752,NORMAL,AUTOMOBILE,954
24.3,0,37.540437,126.664269,4.06,4789738664120778752,NORMAL,AUTOMOBILE,954
24.2,0,37.540422,126.662924,10.15,4789738664174026752,NORMAL,AUTOMOBILE,954
24.3,0,37.540432,126.661631,14.31,4789738664206794752,NORMAL,AUTOMOBILE,954
24.3,0,37.540424,126.661339,13.17,4789738664214986752,NORMAL,AUTOMOBILE,954
24.3,0,37.540396,126.660011,6.46,4789738664538570752,NORMAL,AUTOMOBILE,954
24.3,0,37.539209,126.659752,15.23,4789738664595914752,NORMAL,AUTOMOBILE,954
24.3,0,37.538144,126.659747,14.31,4789738664628682752,NORMAL,AUTOMOBILE,954
24.3,0,37.537897,126.659732,13.80,4789738664636874752,NORMAL,AUTOMOBILE,954
24.3,0,37.536802,126.659765,13.34,4789738664669642752,NORMAL,AUTOMOBILE,954
24.3,0,37.536583,126.659770,12.22,4789738664677834752,NORMAL,AUTOMOBILE,954
24.3,0,37.535542,126.659716,13.33,4789738664714698752,NORMAL,AUTOMOBILE,954
24.3,0,37.535417,126.659716,13.69,4789738664718794752,NORMAL,AUTOMOBILE,954
24.3,0,37.534423,126.659691,5.98,4789738664763850752,NORMAL,AUTOMOBILE,954
24.3,0,37.533690,126.658783,5.33,4789738664907210752,NORMAL,AUTOMOBILE,954
24.3,0,37.533713,126.657926,6.82,4789738664948170752,NORMAL,AUTOMOBILE,954
23.8,0,37.533645,126.656609,2.69,4789738665095626752,NORMAL,AUTOMOBILE,954
23.6,0,37.533635,126.656472,2.57,4789738665161162752,NORMAL,AUTOMOBILE,954
1416.5,0,37.531365,126.641604,0.00,4789738666271178752,STOP,AUTOMOBILE,954
1416.5,0,37.531365,126.641604,0.00,4789738738909354090,END,,0
