accuracy,id,lat,lng,speed,time,type,state,stepCount
54.2,0,37.534438,126.656636,0.00,4789734853468618752,START,AUTOMOBILE,14
43.9,0,37.536116,126.653813,0.00,4789734854042058752,STOP,AUTOMOBILE,14
17.3,0,37.537253,126.649925,16.32,4789734854316490752,NORMAL,AUTOMOBILE,0
22.6,0,37.538380,126.649945,16.21,4789734854349258752,NORMAL,AUTOMOBILE,0
22.6,0,37.538644,126.649937,15.30,4789734854357450752,NORMAL,AUTOMOBILE,0
24.3,0,37.539640,126.649884,2.11,4789734854468042752,NORMAL,AUTOMOBILE,0
8.1,0,37.538725,126.649646,5.11,4789734854615498752,NORMAL,AUTOMOBILE,0
8.1,0,37.538247,126.648723,10.11,4789734854685130752,NORMAL,AUTOMOBILE,0
8.1,0,37.538452,126.647580,0.32,4789734854771146752,STOP,AUTOMOBILE,0
8.1,0,37.538452,126.647580,0.32,4789734866974095314,END,,0
