accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
24.3,0,37.532655,126.656508,1.46,1698658879000,START,WALK,497,
24.3,0,37.532008,126.657337,3.56,1698659146000,NORMAL,WALK,154,
24.3,0,37.532811,126.656530,8.73,1698659203000,NORMAL,AUTOMOBILE,0,
24.3,0,37.532904,126.656540,9.52,1698659204000,NORMAL,AUTOMOBILE,0,
24.3,0,37.532991,126.656538,9.44,1698659205000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533072,126.656536,9.23,1698659206000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533156,126.656534,9.03,1698659207000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533222,126.656532,8.03,1698659208000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533272,126.656528,6.45,1698659209000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533322,126.656536,5.45,1698659210000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533359,126.656534,4.05,1698659211000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533392,126.656534,3.10,1698659212000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533438,126.656532,3.69,1698659213000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533633,126.656542,11.67,1698659214000,RAPID0,AUTOMOBILE,0,
24.3,0,37.533750,126.656524,13.50,1698659215000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533843,126.656515,13.09,1698659216000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533877,126.656514,9.68,1698659217000,NORMAL,AUTOMOBILE,0,
24.3,0,37.533951,126.656519,8.74,1698659218000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534031,126.656529,8.54,1698659219000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534102,126.656533,7.87,1698659220000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534183,126.656534,8.22,1698659221000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534261,126.656518,8.41,1698659222000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534337,126.656521,8.45,1698659223000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534409,126.656522,8.10,1698659224000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534507,126.656520,9.61,1698659225000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534595,126.656521,9.96,1698659226000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534691,126.656521,10.82,1698659227000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534781,126.656519,10.64,1698659228000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534858,126.656517,9.53,1698659229000,NORMAL,AUTOMOBILE,0,
24.3,0,37.534956,126.656514,10.09,1698659230000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535038,126.656511,9.42,1698659231000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535141,126.656515,10.40,1698659232000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535223,126.656515,9.75,1698659233000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535317,126.656491,10.13,1698659234000,NORMAL,AUTOMOBILE,0,
