accuracy,id,lat,lng,speed,time,type,state,stepCount
60.2,0,37.533418,126.631841,0.00,1693050526000,START,WALK,359
88.6,0,37.535005,126.631909,0.00,1693050743000,STOP,WALK,146
9.6,0,37.534278,126.633069,1.10,1693050830000,NORMAL,WALK,47
72.3,0,37.536321,126.632257,0.00,1693050988000,STOP,WALK,283
28.3,0,37.536181,126.632581,2.40,1693050998000,NORMAL,WALK,14
171.2,0,37.539500,126.635506,0.00,1693051153000,STOP,WALK,270
8.1,0,37.539668,126.632564,1.19,1693051362000,NORMAL,WALK,121
8.1,0,37.540377,126.632849,0.89,1693051452000,STOP,WALK,153
8.1,0,37.540377,126.632849,0.89,1693051926118,END,,0
