accuracy,id,lat,lng,speed,time,type,state,stepCount
42.9,0,37.532283,126.657251,0.00,1690540746000,START,AUTOMOBILE,420
32.2,0,37.532318,126.657104,1.86,1690540748000,NORMAL,AUTOMOBILE,420
32.2,0,37.532318,126.657121,1.86,1690540749000,NORMAL,STATION,420
33.0,0,37.532331,126.657125,1.42,1690540750000,NORMAL,AUTOMOBILE,420
28.0,0,37.532361,126.657153,1.42,1690540751000,NORMAL,AUTOMOBILE,420
27.9,0,37.532369,126.657176,1.42,1690540752000,NORMAL,AUTOMOBILE,420
27.8,0,37.532359,126.657192,1.37,1690540753000,NORMAL,AUTOMOBILE,420
27.6,0,37.532358,126.657208,1.62,1690540754000,NORMAL,AUTOMOBILE,420
27.5,0,37.532357,126.657230,1.62,1690540755000,NORMAL,AUTOMOBILE,420
23.7,0,37.532304,126.657221,1.62,1690540756000,NORMAL,AUTOMOBILE,420
23.7,0,37.532244,126.657203,1.67,1690540757000,NORMAL,AUTOMOBILE,420
23.7,0,37.532161,126.657200,5.53,1690540758000,NORMAL,AUTOMOBILE,420
23.7,0,37.532113,126.657206,5.53,1690540759000,NORMAL,AUTOMOBILE,420
23.7,0,37.532075,126.657214,5.36,1690540760000,NORMAL,AUTOMOBILE,420
23.7,0,37.532041,126.657219,4.32,1690540761000,NORMAL,AUTOMOBILE,420
23.7,0,37.532015,126.657217,3.44,1690540762000,NORMAL,AUTOMOBILE,420
23.7,0,37.531996,126.657214,2.62,1690540763000,NORMAL,AUTOMOBILE,420
23.7,0,37.531977,126.657219,2.62,1690540764000,NORMAL,AUTOMOBILE,420
23.7,0,37.531965,126.657209,1.96,1690540765000,NORMAL,AUTOMOBILE,420
23.7,0,37.531963,126.657204,1.55,1690540766000,NORMAL,AUTOMOBILE,420
23.7,0,37.531962,126.657200,0.88,1690540767000,STOP,AUTOMOBILE,420
24.4,0,37.531948,126.657176,1.04,1690540770000,NORMAL,AUTOMOBILE,420
24.4,0,37.531927,126.657172,1.87,1690540771000,NORMAL,AUTOMOBILE,420
