cell_GeoLabel,S
UJCBD,AN
UJCD,AN
UJCCDBD,AN
UJCCDBC,N
UJCCDAD,N
UJCCDAB,N
UJCCDAD,N
UJCCDAC,N
UJCCDAA,N
UJCCDAC,N
