cell_GeoLabel,lF,F1
UJCBD,0,AN
UJCD,0,AN
UJCCDBD,0,AN
UJCCDBC,15,N
UJCCDAD,850,N
UJCCDAB,177,N
UJCCDAD,850,N
UJCCDAC,1552,N
UJCCDAA,357,N
UJCCDAC,1552,N
