accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
6.5,0,37.539725,126.644631,13.62,1700003382000,START,AUTOMOBILE,0,
6.5,0,37.539846,126.644626,13.76,1700003383000,NORMAL,AUTOMOBILE,0,
6.5,0,37.539960,126.644621,12.57,1700003384000,NORMAL,AUTOMOBILE,0,
6.5,0,37.540080,126.644623,12.57,1700003385000,NORMAL,AUTOMOBILE,0,
6.5,0,37.540193,126.644623,12.33,1700003386000,NORMAL,AUTOMOBILE,0,
8.2,0,37.540304,126.644624,12.33,1700003387000,NORMAL,AUTOMOBILE,0,
8.2,0,37.540388,126.644619,12.07,1700003388000,NORMAL,AUTOMOBILE,0,
8.2,0,37.540466,126.644622,9.93,1700003389000,NORMAL,AUTOMOBILE,0,
8.2,0,37.540568,126.644616,10.63,1700003390000,NORMAL,AUTOMOBILE,0,
8.2,0,37.540663,126.644618,10.73,1700003391000,NORMAL,AUTOMOBILE,0,
8.2,0,37.540763,126.644624,10.73,1700003392000,NORMAL,AUTOMOBILE,0,
8.2,0,37.540874,126.644619,11.54,1700003393000,NORMAL,AUTOMOBILE,0,
8.2,0,37.540971,126.644620,11.54,1700003394000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541056,126.644615,10.28,1700003395000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541140,126.644621,10.28,1700003396000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541206,126.644629,8.89,1700003397000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541267,126.644628,8.29,1700003398000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541306,126.644623,7.25,1700003399000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541333,126.644623,4.86,1700003400000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541374,126.644624,4.86,1700003401000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541402,126.644614,4.07,1700003402000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541420,126.644622,3.49,1700003403000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541430,126.644620,2.31,1700003404000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541440,126.644612,1.46,1700003405000,NORMAL,AUTOMOBILE,0,
8.2,0,37.541443,126.644619,1.46,1700003406000,NORMAL,AUTOMOBILE,0,
8.0,0,37.541447,126.644595,0.09,1700003407000,STOP,AUTOMOBILE,0,
8.1,0,37.541426,126.644569,1.02,1700003492000,NORMAL,STATION,0,
8.1,0,37.541447,126.644573,1.65,1700003493000,NORMAL,STATION,0,
8.1,0,37.541484,126.644569,2.83,1700003494000,NORMAL,STATION,0,
8.1,0,37.541549,126.644566,5.00,1700003495000,NORMAL,STATION,0,
8.1,0,37.541635,126.644560,7.39,1700003496000,NORMAL,STATION,0,
8.1,0,37.541720,126.644564,8.72,1700003497000,NORMAL,STATION,0,
8.1,0,37.541796,126.644614,8.96,1700003498000,NORMAL,STATION,0,
8.1,0,37.541862,126.644527,8.44,1700003499000,NORMAL,STATION,0,
8.1,0,37.541916,126.644496,7.70,1700003500000,NORMAL,STATION,0,
8.1,0,37.541966,126.644470,7.22,1700003501000,NORMAL,STATION,0,
8.1,0,37.541939,126.644288,7.38,1700003502000,NORMAL,STATION,0,
8.1,0,37.541929,126.644157,8.71,1700003503000,NORMAL,STATION,0,
8.1,0,37.541931,126.644009,10.39,1700003504000,NORMAL,STATION,0,
8.1,0,37.541933,126.643873,11.42,1700003505000,NORMAL,STATION,0,
8.1,0,37.541922,126.643717,12.65,1700003506000,NORMAL,STATION,0,
8.1,0,37.541935,126.643556,13.52,1700003507000,NORMAL,STATION,0,
8.1,0,37.541949,126.643405,13.56,1700003508000,NORMAL,STATION,0,
8.1,0,37.541942,126.643289,11.89,1700003509000,NORMAL,STATION,0,
8.1,0,37.541935,126.643189,10.35,1700003510000,NORMAL,STATION,0,
8.1,0,37.541938,126.643099,9.21,1700003511000,NORMAL,STATION,0,
8.1,0,37.541943,126.643036,7.32,1700003512000,NORMAL,STATION,0,
8.1,0,37.541941,126.642973,6.28,1700003513000,NORMAL,AUTOMOBILE,0,
8.1,0,37.541937,126.642932,4.74,1700003514000,NORMAL,AUTOMOBILE,0,
8.1,0,37.541937,126.642892,3.92,1700003515000,NORMAL,AUTOMOBILE,0,
8.1,0,37.541939,126.642860,3.21,1700003516000,NORMAL,AUTOMOBILE,0,
8.1,0,37.541939,126.642843,2.26,1700003517000,NORMAL,AUTOMOBILE,0,
8.1,0,37.541937,126.642841,1.21,1700003518000,NORMAL,AUTOMOBILE,0,
8.1,0,37.541933,126.642849,0.23,1700003519000,STOP,AUTOMOBILE,0,
8.1,0,37.541941,126.642812,1.80,1700003546000,NORMAL,STATION,0,
8.1,0,37.541942,126.642748,3.75,1700003547000,NORMAL,STATION,0,
8.1,0,37.541938,126.642682,4.78,1700003548000,NORMAL,STATION,0,
8.1,0,37.541942,126.642597,6.14,1700003549000,NORMAL,STATION,0,
8.1,0,37.541944,126.642496,7.62,1700003550000,NORMAL,STATION,0,
8.1,0,37.541942,126.642373,9.10,1700003551000,NORMAL,STATION,0,
8.1,0,37.541927,126.642227,10.84,1700003552000,NORMAL,STATION,0,
8.0,0,37.541929,126.642111,10.81,1700003553000,NORMAL,STATION,0,
