accuracy,id,lat,lng,speed,time,type,state,stepCount
9.5,0,37.536940,126.649702,9.32,1691018637000,START,AUTOMOBILE,3
8.2,0,37.536860,126.649693,9.32,1691018638000,NORMAL,AUTOMOBILE,3
8.2,0,37.536803,126.649688,8.20,1691018639000,NORMAL,AUTOMOBILE,3
8.2,0,37.536751,126.649684,7.38,1691018640000,NORMAL,AUTOMOBILE,3
8.2,0,37.536711,126.649676,6.52,1691018641000,NORMAL,AUTOMOBILE,3
8.2,0,37.536685,126.649678,4.37,1691018642000,NORMAL,AUTOMOBILE,3
8.2,0,37.536666,126.649703,4.37,1691018643000,NORMAL,AUTOMOBILE,3
8.2,0,37.536655,126.649679,2.63,1691018644000,NORMAL,AUTOMOBILE,3
8.2,0,37.536645,126.649682,2.43,1691018645000,NORMAL,AUTOMOBILE,3
8.2,0,37.536638,126.649685,1.51,1691018646000,NORMAL,AUTOMOBILE,3
8.7,0,37.536619,126.649701,1.98,1691018647000,NORMAL,AUTOMOBILE,3
8.2,0,37.536622,126.649697,1.98,1691018648000,NORMAL,AUTOMOBILE,3
8.2,0,37.536635,126.649699,0.00,1691018649000,STOP,AUTOMOBILE,3
8.2,0,37.536608,126.649657,1.74,1691018673000,NORMAL,STATION,3
8.2,0,37.536548,126.649633,4.86,1691018674000,NORMAL,AUTOMOBILE,3
8.2,0,37.536515,126.649637,4.56,1691018675000,NORMAL,AUTOMOBILE,3
8.2,0,37.536472,126.649644,4.58,1691018676000,NORMAL,AUTOMOBILE,3
8.2,0,37.536413,126.649644,5.60,1691018677000,NORMAL,AUTOMOBILE,3
8.2,0,37.536344,126.649643,6.59,1691018678000,NORMAL,AUTOMOBILE,3
8.2,0,37.536281,126.649650,6.77,1691018679000,NORMAL,AUTOMOBILE,3
8.2,0,37.536225,126.649683,6.64,1691018680000,NORMAL,AUTOMOBILE,3
8.2,0,37.536166,126.649733,7.14,1691018681000,NORMAL,AUTOMOBILE,3
8.2,0,37.536106,126.649817,8.47,1691018682000,NORMAL,AUTOMOBILE,3
8.2,0,37.536067,126.649911,9.00,1691018683000,NORMAL,AUTOMOBILE,3
8.2,0,37.536036,126.650017,9.44,1691018684000,NORMAL,AUTOMOBILE,3
8.2,0,37.536024,126.650135,10.04,1691018685000,NORMAL,AUTOMOBILE,3
8.2,0,37.536022,126.650262,10.91,1691018686000,NORMAL,AUTOMOBILE,3
8.2,0,37.536031,126.650412,12.32,1691018687000,NORMAL,AUTOMOBILE,3
8.2,0,37.536029,126.650558,12.70,1691018688000,NORMAL,AUTOMOBILE,3
8.2,0,37.536034,126.650713,13.19,1691018689000,NORMAL,AUTOMOBILE,3
8.2,0,37.536033,126.650869,13.47,1691018690000,NORMAL,AUTOMOBILE,3
24.3,0,37.536035,126.651022,13.37,1691018691000,NORMAL,AUTOMOBILE,3
24.3,0,37.536026,126.651180,13.41,1691018692000,NORMAL,AUTOMOBILE,3
24.3,0,37.536019,126.651325,12.86,1691018693000,NORMAL,AUTOMOBILE,3
24.3,0,37.536021,126.651471,12.58,1691018694000,NORMAL,AUTOMOBILE,3
24.3,0,37.536022,126.651602,11.86,1691018695000,NORMAL,AUTOMOBILE,3
24.3,0,37.536020,126.651731,11.28,1691018696000,NORMAL,AUTOMOBILE,3
24.3,0,37.536022,126.651854,10.89,1691018697000,NORMAL,AUTOMOBILE,3
24.3,0,37.536020,126.651969,10.29,1691018698000,NORMAL,AUTOMOBILE,3
24.3,0,37.536019,126.652076,9.60,1691018699000,NORMAL,AUTOMOBILE,3
24.3,0,37.536019,126.652176,8.94,1691018700000,NORMAL,AUTOMOBILE,3
24.3,0,37.536011,126.652259,7.84,1691018701000,NORMAL,AUTOMOBILE,3
24.3,0,37.536015,126.652350,7.70,1691018702000,NORMAL,AUTOMOBILE,3
24.3,0,37.536017,126.652424,6.69,1691018703000,NORMAL,AUTOMOBILE,3
24.3,0,37.536018,126.652486,5.80,1691018704000,NORMAL,AUTOMOBILE,3
24.3,0,37.536019,126.652542,5.02,1691018705000,NORMAL,AUTOMOBILE,3
24.3,0,37.536018,126.652585,4.05,1691018706000,NORMAL,AUTOMOBILE,3
24.3,0,37.536019,126.652621,3.27,1691018707000,NORMAL,AUTOMOBILE,3
24.3,0,37.536019,126.652646,2.44,1691018708000,NORMAL,AUTOMOBILE,3
24.3,0,37.536018,126.652660,1.44,1691018709000,NORMAL,AUTOMOBILE,3
24.3,0,37.536018,126.652667,0.78,1691018710000,STOP,AUTOMOBILE,3
24.3,0,37.536024,126.652719,2.01,1691018729000,NORMAL,AUTOMOBILE,3
24.3,0,37.536023,126.652765,3.80,1691018730000,NORMAL,AUTOMOBILE,3
24.3,0,37.536024,126.652830,5.13,1691018731000,NORMAL,AUTOMOBILE,3
24.3,0,37.536023,126.652899,5.81,1691018732000,NORMAL,AUTOMOBILE,3
24.3,0,37.536019,126.652977,6.75,1691018733000,NORMAL,AUTOMOBILE,3
24.3,0,37.536021,126.653063,7.42,1691018734000,NORMAL,AUTOMOBILE,3
24.3,0,37.536020,126.653160,8.37,1691018735000,NORMAL,AUTOMOBILE,3
24.3,0,37.536006,126.653258,8.85,1691018736000,NORMAL,AUTOMOBILE,3
24.3,0,37.536013,126.653387,10.34,1691018737000,NORMAL,AUTOMOBILE,3
24.3,0,37.536010,126.653515,11.09,1691018738000,NORMAL,AUTOMOBILE,3
24.3,0,37.536006,126.653650,11.88,1691018739000,NORMAL,AUTOMOBILE,3
24.3,0,37.535998,126.653797,12.72,1691018740000,NORMAL,AUTOMOBILE,3
24.3,0,37.535997,126.653948,13.09,1691018741000,NORMAL,AUTOMOBILE,3
24.3,0,37.535994,126.654099,13.17,1691018742000,NORMAL,AUTOMOBILE,3
24.3,0,37.536000,126.654244,12.98,1691018743000,NORMAL,AUTOMOBILE,3
24.3,0,37.536005,126.654388,12.87,1691018744000,NORMAL,AUTOMOBILE,3
