accuracy,id,lat,lng,speed,time,type,state,stepCount
132.5,0,37.536244,126.656568,0.00,1695345680000,START,WALK,12
93.0,0,37.535685,126.650120,0.00,1695345803000,STOP,WALK,12
186.9,0,37.535929,126.642001,18.27,1695345899000,NORMAL,AUTOMOBILE,12
84.2,0,37.536016,126.641919,18.27,1695345900000,NORMAL,AUTOMOBILE,12
23.4,0,37.536008,126.641728,18.27,1695345901000,NORMAL,AUTOMOBILE,12
17.4,0,37.536031,126.641512,18.61,1695345902000,NORMAL,AUTOMOBILE,12
27.8,0,37.536191,126.641330,18.27,1695345903000,NORMAL,AUTOMOBILE,12
20.5,0,37.536191,126.641124,18.53,1695345904000,NORMAL,AUTOMOBILE,12
19.6,0,37.536191,126.640941,18.27,1695345905000,NORMAL,AUTOMOBILE,12
18.5,0,37.536191,126.640741,17.67,1695345906000,NORMAL,AUTOMOBILE,12
19.0,0,37.536192,126.640532,17.59,1695345907000,NORMAL,AUTOMOBILE,12
18.7,0,37.536182,126.640378,14.37,1695345908000,NORMAL,AUTOMOBILE,12
16.6,0,37.536181,126.640229,14.37,1695345909000,NORMAL,AUTOMOBILE,12
18.8,0,37.536180,126.640140,13.58,1695345910000,NORMAL,AUTOMOBILE,12
19.6,0,37.536179,126.639987,13.58,1695345911000,NORMAL,AUTOMOBILE,12
17.5,0,37.536179,126.639923,10.71,1695345912000,NORMAL,AUTOMOBILE,12
16.5,0,37.536179,126.639971,9.86,1695345913000,NORMAL,AUTOMOBILE,12
16.6,0,37.536180,126.640035,0.97,1695345914000,STOP,AUTOMOBILE,12
16.9,0,37.536179,126.639985,2.22,1695345915000,NORMAL,AUTOMOBILE,12
17.1,0,37.536179,126.639992,1.58,1695345916000,NORMAL,AUTOMOBILE,12
16.5,0,37.536179,126.639990,1.58,1695345917000,NORMAL,AUTOMOBILE,12
16.9,0,37.536180,126.640023,0.00,1695345918000,STOP,AUTOMOBILE,12
17.4,0,37.536179,126.639933,2.88,1695345929000,NORMAL,AUTOMOBILE,12
17.4,0,37.536179,126.639899,2.88,1695345930000,NORMAL,AUTOMOBILE,12
16.2,0,37.536178,126.639829,3.33,1695345931000,NORMAL,AUTOMOBILE,12
17.5,0,37.536178,126.639750,4.48,1695345932000,NORMAL,AUTOMOBILE,12
17.7,0,37.536161,126.639627,5.50,1695345933000,NORMAL,AUTOMOBILE,12
19.0,0,37.536149,126.639550,5.91,1695345934000,NORMAL,AUTOMOBILE,12
17.4,0,37.536131,126.639424,6.64,1695345935000,NORMAL,AUTOMOBILE,12
18.1,0,37.536115,126.639318,7.23,1695345936000,NORMAL,AUTOMOBILE,12
12.7,0,37.536113,126.639070,9.79,1695345937000,NORMAL,AUTOMOBILE,12
11.3,0,37.536112,126.638943,10.19,1695345938000,NORMAL,AUTOMOBILE,12
10.4,0,37.536110,126.638812,10.93,1695345939000,NORMAL,AUTOMOBILE,12
9.7,0,37.536109,126.638677,11.37,1695345940000,NORMAL,AUTOMOBILE,12
9.4,0,37.536107,126.638548,11.95,1695345941000,NORMAL,AUTOMOBILE,12
9.3,0,37.536054,126.638395,12.40,1695345942000,NORMAL,AUTOMOBILE,12
9.3,0,37.536058,126.638233,13.04,1695345943000,NORMAL,AUTOMOBILE,12
9.7,0,37.536061,126.638072,13.45,1695345944000,NORMAL,AUTOMOBILE,12
10.1,0,37.536047,126.637906,13.96,1695345945000,NORMAL,AUTOMOBILE,12
10.0,0,37.536040,126.637694,15.33,1695345946000,NORMAL,AUTOMOBILE,12
10.6,0,37.536038,126.637511,15.82,1695345947000,NORMAL,AUTOMOBILE,12
11.3,0,37.536034,126.637281,16.88,1695345948000,NORMAL,AUTOMOBILE,12
11.8,0,37.536046,126.637072,17.54,1695345949000,NORMAL,AUTOMOBILE,12
12.4,0,37.536062,126.636861,18.01,1695345950000,NORMAL,AUTOMOBILE,12
14.0,0,37.536062,126.636656,18.02,1695345951000,NORMAL,AUTOMOBILE,12
16.1,0,37.536060,126.636452,17.98,1695345952000,NORMAL,AUTOMOBILE,12
18.5,0,37.536082,126.636253,17.95,1695345953000,NORMAL,AUTOMOBILE,12
21.3,0,37.536081,126.636052,17.94,1695345954000,NORMAL,AUTOMOBILE,12
22.6,0,37.536081,126.635849,17.93,1695345955000,NORMAL,AUTOMOBILE,12
25.1,0,37.536095,126.635068,0.00,1695345958000,STOP,AUTOMOBILE,12
208.9,0,37.536120,126.630390,16.03,1695345982000,NORMAL,AUTOMOBILE,12
186.6,0,37.536133,126.630371,16.41,1695345983000,NORMAL,AUTOMOBILE,12
44.5,0,37.536151,126.629538,18.47,1695345984000,NORMAL,AUTOMOBILE,12
36.3,0,37.536156,126.629334,18.17,1695345985000,NORMAL,AUTOMOBILE,12
34.0,0,37.536145,126.629096,18.47,1695345986000,NORMAL,AUTOMOBILE,12
30.4,0,37.536171,126.628901,18.17,1695345987000,NORMAL,AUTOMOBILE,12
30.3,0,37.536151,126.628742,16.25,1695345988000,NORMAL,AUTOMOBILE,12
28.8,0,37.536157,126.628525,16.68,1695345989000,NORMAL,AUTOMOBILE,12
22.2,0,37.536169,126.628365,16.25,1695345990000,NORMAL,AUTOMOBILE,12
22.8,0,37.536180,126.628217,14.44,1695345991000,NORMAL,AUTOMOBILE,12
22.4,0,37.536189,126.628098,14.36,1695345992000,NORMAL,AUTOMOBILE,12
22.1,0,37.536196,126.628004,11.68,1695345993000,NORMAL,AUTOMOBILE,12
20.8,0,37.536194,126.628027,11.68,1695345994000,NORMAL,AUTOMOBILE,12
9.3,0,37.536205,126.628229,2.51,1695345995000,RAPID1,AUTOMOBILE,12
8.5,0,37.536189,126.628241,0.95,1695345996000,STOP,AUTOMOBILE,12
10.5,0,37.536205,126.628133,1.43,1695346044000,NORMAL,AUTOMOBILE,12
10.9,0,37.536202,126.628079,2.22,1695346045000,NORMAL,AUTOMOBILE,12
11.1,0,37.536198,126.628025,3.01,1695346046000,NORMAL,AUTOMOBILE,12
11.7,0,37.536196,126.627971,3.42,1695346047000,NORMAL,AUTOMOBILE,12
11.3,0,37.536192,126.627876,4.51,1695346048000,NORMAL,AUTOMOBILE,12
11.7,0,37.536212,126.627777,5.39,1695346049000,NORMAL,AUTOMOBILE,12
11.8,0,37.536224,126.627693,6.02,1695346050000,NORMAL,AUTOMOBILE,12
12.1,0,37.536243,126.627607,6.70,1695346051000,NORMAL,AUTOMOBILE,12
12.5,0,37.536253,126.627520,6.77,1695346052000,NORMAL,AUTOMOBILE,12
12.7,0,37.536262,126.627447,6.38,1695346053000,NORMAL,AUTOMOBILE,12
13.2,0,37.536270,126.627372,5.93,1695346054000,NORMAL,AUTOMOBILE,12
13.4,0,37.536277,126.627314,5.49,1695346055000,NORMAL,AUTOMOBILE,12
11.4,0,37.536305,126.627253,5.10,1695346056000,NORMAL,AUTOMOBILE,12
12.1,0,37.536313,126.627209,4.78,1695346057000,NORMAL,AUTOMOBILE,12
12.6,0,37.536320,126.627181,4.22,1695346058000,NORMAL,AUTOMOBILE,12
13.6,0,37.536324,126.627150,4.04,1695346059000,NORMAL,AUTOMOBILE,12
14.2,0,37.536322,126.627160,3.08,1695346060000,NORMAL,AUTOMOBILE,12
14.7,0,37.536317,126.627158,2.40,1695346061000,NORMAL,AUTOMOBILE,12
14.6,0,37.536311,126.627179,1.46,1695346062000,NORMAL,AUTOMOBILE,12
14.2,0,37.536298,126.627235,0.36,1695346063000,STOP,AUTOMOBILE,12
13.3,0,37.536267,126.627384,1.23,1695346070000,NORMAL,AUTOMOBILE,12
13.4,0,37.536265,126.627356,2.17,1695346071000,NORMAL,AUTOMOBILE,12
10.9,0,37.536290,126.627365,2.58,1695346072000,NORMAL,AUTOMOBILE,12
8.3,0,37.536297,126.627235,4.66,1695346073000,NORMAL,AUTOMOBILE,12
8.2,0,37.536300,126.627160,5.25,1695346074000,NORMAL,AUTOMOBILE,12
8.2,0,37.536306,126.627080,6.05,1695346075000,NORMAL,AUTOMOBILE,12
8.2,0,37.536311,126.627002,6.67,1695346076000,NORMAL,AUTOMOBILE,12
8.5,0,37.536318,126.626908,7.58,1695346077000,NORMAL,AUTOMOBILE,12
9.4,0,37.536327,126.626806,8.49,1695346078000,NORMAL,STATION,12
10.6,0,37.536333,126.626710,9.00,1695346079000,NORMAL,AUTOMOBILE,12
11.5,0,37.536375,126.626604,9.77,1695346080000,NORMAL,AUTOMOBILE,12
10.9,0,37.536393,126.626454,11.15,1695346081000,NORMAL,STATION,12
11.2,0,37.536411,126.626319,12.00,1695346082000,NORMAL,AUTOMOBILE,12
12.4,0,37.536427,126.626185,12.72,1695346083000,NORMAL,AUTOMOBILE,12
12.3,0,37.536449,126.626040,13.36,1695346084000,NORMAL,AUTOMOBILE,12
13.7,0,37.536472,126.625896,13.89,1695346085000,NORMAL,AUTOMOBILE,12
13.7,0,37.536491,126.625744,14.32,1695346086000,NORMAL,AUTOMOBILE,12
12.6,0,37.536503,126.625586,14.34,1695346087000,NORMAL,AUTOMOBILE,12
10.1,0,37.536548,126.625426,13.72,1695346088000,NORMAL,AUTOMOBILE,12
10.0,0,37.536568,126.625295,12.38,1695346089000,NORMAL,AUTOMOBILE,12
11.2,0,37.536582,126.625179,11.00,1695346090000,NORMAL,AUTOMOBILE,12
11.4,0,37.536609,126.625039,10.10,1695346091000,NORMAL,AUTOMOBILE,12
12.1,0,37.536630,126.624932,8.62,1695346092000,NORMAL,AUTOMOBILE,12
12.7,0,37.536653,126.624872,6.25,1695346093000,NORMAL,AUTOMOBILE,12
