accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
41.9,0,37.533558,126.656536,0.00,1697188807000,START,AUTOMOBILE,0,
34.6,0,37.533185,126.656572,6.18,1697188808000,RAPID0,AUTOMOBILE,0,
28.0,0,37.533266,126.656541,6.29,1697188809000,NORMAL,AUTOMOBILE,0,
27.3,0,37.533350,126.656583,6.29,1697188810000,NORMAL,AUTOMOBILE,0,
27.5,0,37.533438,126.656572,6.99,1697188811000,NORMAL,AUTOMOBILE,0,
27.6,0,37.533535,126.656581,9.81,1697188812000,NORMAL,AUTOMOBILE,0,
22.7,0,37.533621,126.656578,10.05,1697188813000,NORMAL,AUTOMOBILE,0,
22.6,0,37.533698,126.656590,9.81,1697188814000,NORMAL,AUTOMOBILE,0,
22.5,0,37.533788,126.656569,10.05,1697188815000,NORMAL,AUTOMOBILE,0,
22.6,0,37.533878,126.656585,9.73,1697188816000,NORMAL,AUTOMOBILE,0,
22.5,0,37.533964,126.656573,8.78,1697188817000,NORMAL,AUTOMOBILE,0,
27.2,0,37.534060,126.656570,10.31,1697188818000,NORMAL,AUTOMOBILE,0,
22.8,0,37.534145,126.656577,8.78,1697188819000,NORMAL,AUTOMOBILE,0,
22.7,0,37.534231,126.656573,8.58,1697188820000,NORMAL,AUTOMOBILE,0,
23.7,0,37.534309,126.656573,8.58,1697188821000,NORMAL,AUTOMOBILE,0,
22.5,0,37.534401,126.656574,9.57,1697188822000,NORMAL,AUTOMOBILE,0,
23.8,0,37.534487,126.656574,9.57,1697188823000,NORMAL,AUTOMOBILE,0,
23.8,0,37.534575,126.656571,9.61,1697188824000,NORMAL,AUTOMOBILE,0,
23.3,0,37.534663,126.656567,9.61,1697188825000,NORMAL,AUTOMOBILE,0,
23.3,0,37.534756,126.656564,9.93,1697188826000,NORMAL,AUTOMOBILE,0,
23.3,0,37.534850,126.656563,10.22,1697188827000,NORMAL,AUTOMOBILE,0,
22.9,0,37.534930,126.656564,9.50,1697188828000,NORMAL,AUTOMOBILE,0,
22.9,0,37.535015,126.656571,9.50,1697188829000,NORMAL,AUTOMOBILE,0,
22.9,0,37.535094,126.656566,9.21,1697188830000,NORMAL,AUTOMOBILE,0,
22.9,0,37.535169,126.656559,8.70,1697188831000,NORMAL,AUTOMOBILE,0,
22.6,0,37.535233,126.656562,8.24,1697188832000,NORMAL,AUTOMOBILE,0,
22.6,0,37.535288,126.656560,7.06,1697188833000,NORMAL,AUTOMOBILE,0,
22.6,0,37.535358,126.656559,7.15,1697188834000,NORMAL,AUTOMOBILE,0,
22.6,0,37.535417,126.656564,7.06,1697188835000,NORMAL,AUTOMOBILE,0,
22.6,0,37.535472,126.656565,6.67,1697188836000,NORMAL,AUTOMOBILE,0,
22.6,0,37.535525,126.656563,6.55,1697188837000,NORMAL,AUTOMOBILE,0,
17.3,0,37.535551,126.656563,4.97,1697188838000,NORMAL,AUTOMOBILE,0,
22.6,0,37.535596,126.656556,4.97,1697188839000,NORMAL,AUTOMOBILE,0,
22.6,0,37.535619,126.656565,3.85,1697188840000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535681,126.656507,2.96,1697188841000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535696,126.656506,2.23,1697188842000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535698,126.656508,1.22,1697188843000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535698,126.656509,0.66,1697188844000,STOP,AUTOMOBILE,0,
24.3,0,37.535729,126.656498,1.60,1697188914000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535753,126.656498,2.41,1697188915000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535781,126.656501,2.95,1697188916000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535813,126.656503,3.42,1697188917000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535849,126.656503,4.10,1697188918000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535900,126.656504,5.12,1697188919000,NORMAL,AUTOMOBILE,0,
24.3,0,37.535952,126.656506,5.59,1697188920000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536004,126.656505,5.87,1697188921000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536059,126.656499,6.03,1697188922000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536112,126.656482,5.99,1697188923000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536158,126.656473,6.05,1697188924000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536198,126.656462,6.53,1697188925000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536195,126.656290,7.07,1697188926000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536195,126.656187,8.17,1697188927000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536195,126.656088,8.54,1697188928000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536195,126.655985,8.87,1697188929000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536194,126.655877,9.21,1697188930000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536208,126.655765,9.66,1697188931000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536201,126.655650,9.91,1697188932000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536194,126.655529,10.52,1697188933000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536191,126.655396,11.34,1697188934000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536188,126.655256,11.97,1697188935000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536187,126.655115,12.14,1697188936000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536184,126.654974,12.20,1697188937000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536183,126.654848,11.45,1697188938000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536185,126.654731,10.63,1697188939000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536182,126.654598,11.00,1697188940000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536179,126.654482,10.28,1697188941000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536179,126.654373,9.48,1697188942000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536179,126.654284,8.24,1697188943000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536178,126.654219,6.32,1697188944000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536179,126.654165,4.92,1697188945000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536175,126.654128,3.65,1697188946000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536176,126.654096,2.86,1697188947000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536176,126.654075,1.99,1697188948000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536176,126.654066,0.99,1697188949000,STOP,AUTOMOBILE,0,
24.3,0,37.536187,126.654038,1.85,1697188980000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536185,126.653991,3.88,1697188981000,NORMAL,STATION,0,
24.3,0,37.536181,126.653930,5.27,1697188982000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536179,126.653853,6.67,1697188983000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536178,126.653772,7.14,1697188984000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536179,126.653694,6.88,1697188985000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536178,126.653606,7.58,1697188986000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536177,126.653513,8.11,1697188987000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536177,126.653411,8.97,1697188988000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536176,126.653299,9.84,1697188989000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536175,126.653181,10.23,1697188990000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536175,126.653063,10.35,1697188991000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536174,126.652941,10.61,1697188992000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536175,126.652815,10.99,1697188993000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536174,126.652682,11.49,1697188994000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536175,126.652551,11.53,1697188995000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536180,126.652418,11.63,1697188996000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536188,126.652290,11.52,1697188997000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536193,126.652158,11.60,1697188998000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536193,126.652029,11.47,1697188999000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536191,126.651903,11.28,1697189000000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536190,126.651782,10.78,1697189001000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536187,126.651655,11.12,1697189002000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536187,126.651527,11.34,1697189003000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536181,126.651393,11.68,1697189004000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536180,126.651270,10.75,1697189005000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536181,126.651138,11.42,1697189006000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536189,126.651005,11.66,1697189007000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536192,126.650878,11.31,1697189008000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536191,126.650764,10.34,1697189009000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536191,126.650662,9.21,1697189010000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536192,126.650567,8.45,1697189011000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536190,126.650482,7.63,1697189012000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536185,126.650405,7.03,1697189013000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536183,126.650331,6.56,1697189014000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536181,126.650271,5.40,1697189015000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536182,126.650220,4.45,1697189016000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536182,126.650177,3.62,1697189017000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536183,126.650142,3.11,1697189018000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536188,126.650104,3.19,1697189019000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536197,126.650068,3.13,1697189020000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536206,126.650041,2.41,1697189021000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536190,126.650022,2.09,1697189022000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536190,126.650011,1.28,1697189023000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536190,126.650005,0.94,1697189024000,STOP,AUTOMOBILE,0,
24.3,0,37.536190,126.649989,1.03,1697189027000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536190,126.649976,2.70,1697189028000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536331,126.649977,4.70,1697189029000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536404,126.649973,7.59,1697189030000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536485,126.649978,8.64,1697189031000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536563,126.649981,8.61,1697189032000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536647,126.649981,8.96,1697189033000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536731,126.649977,9.18,1697189034000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536821,126.649971,9.78,1697189035000,NORMAL,AUTOMOBILE,0,
24.3,0,37.536928,126.649962,11.50,1697189036000,NORMAL,AUTOMOBILE,0,
24.3,0,37.537043,126.649957,12.68,1697189037000,NORMAL,AUTOMOBILE,0,
24.3,0,37.537167,126.649959,13.48,1697189038000,NORMAL,AUTOMOBILE,0,
24.3,0,37.537297,126.649960,14.25,1697189039000,NORMAL,AUTOMOBILE,0,
24.3,0,37.537428,126.649962,14.59,1697189040000,NORMAL,AUTOMOBILE,0,
24.3,0,37.537570,126.649963,15.58,1697189041000,NORMAL,AUTOMOBILE,0,
24.3,0,37.537716,126.649962,15.99,1697189042000,NORMAL,AUTOMOBILE,0,
24.3,0,37.537860,126.649966,15.77,1697189043000,NORMAL,AUTOMOBILE,0,
24.3,0,37.537999,126.649968,15.32,1697189044000,NORMAL,AUTOMOBILE,0,
24.3,0,37.538138,126.649977,15.22,1697189045000,NORMAL,AUTOMOBILE,0,
24.3,0,37.538276,126.649986,15.20,1697189046000,NORMAL,AUTOMOBILE,0,
24.3,0,37.538416,126.649988,15.56,1697189047000,NORMAL,AUTOMOBILE,0,
24.3,0,37.538561,126.649983,15.94,1697189048000,NORMAL,AUTOMOBILE,0,
24.3,0,37.538706,126.650001,16.16,1697189049000,NORMAL,AUTOMOBILE,0,
24.3,0,37.538850,126.650006,15.87,1697189050000,NORMAL,AUTOMOBILE,0,
24.3,0,37.538988,126.650011,15.39,1697189051000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539116,126.650016,14.52,1697189052000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539241,126.650021,13.64,1697189053000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539353,126.650025,12.37,1697189054000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539451,126.650028,10.76,1697189055000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539535,126.650032,9.25,1697189056000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539594,126.650034,6.64,1697189057000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539635,126.650035,4.85,1697189058000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539657,126.650036,3.23,1697189059000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539668,126.650037,1.99,1697189060000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539673,126.650019,0.93,1697189061000,STOP,AUTOMOBILE,0,
24.3,0,37.539685,126.650037,1.15,1697189065000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539683,126.650037,0.98,1697189066000,STOP,AUTOMOBILE,0,
24.3,0,37.539679,126.650012,1.42,1697189067000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539804,126.649758,4.10,1697189068000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539569,126.649728,6.84,1697189069000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539486,126.649716,8.73,1697189070000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539391,126.649707,10.32,1697189071000,NORMAL,AUTOMOBILE,0,
24.3,0,37.539287,126.649703,11.32,1697189072000,NORMAL,AUTOMOBILE,0,
8.1,0,37.539187,126.649701,11.15,1697189073000,NORMAL,AUTOMOBILE,0,
8.1,0,37.539083,126.649696,11.44,1697189074000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538983,126.649691,11.14,1697189075000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538888,126.649686,10.75,1697189076000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538797,126.649683,9.99,1697189077000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538714,126.649675,9.40,1697189078000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538634,126.649672,8.81,1697189079000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538566,126.649669,7.72,1697189080000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538512,126.649668,6.32,1697189081000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538469,126.649667,5.20,1697189082000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538430,126.649666,4.52,1697189083000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538385,126.649665,4.86,1697189084000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538342,126.649655,4.85,1697189085000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538305,126.649618,4.83,1697189086000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538275,126.649627,5.58,1697189087000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538259,126.649473,7.55,1697189088000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538254,126.649356,9.70,1697189089000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538251,126.649224,11.35,1697189090000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538251,126.649082,12.30,1697189091000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538253,126.648941,12.41,1697189092000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538256,126.648804,12.06,1697189093000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538260,126.648675,11.50,1697189094000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538266,126.648552,10.86,1697189095000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538276,126.648433,10.57,1697189096000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538289,126.648310,10.87,1697189097000,NORMAL,AUTOMOBILE,0,
8.1,0,37.538307,126.648192,10.58,1697189098000,NORMAL,AUTOMOBILE,0,
