accuracy,id,lat,lng,speed,time,type,state,stepCount
52.2,0,37.533417,126.656352,0.00,4789741578035658752,START,AUTOMOBILE,5
78.7,0,37.535358,126.656445,0.00,4789741578228170752,STOP,AUTOMOBILE,5
24.3,0,37.536182,126.652766,12.85,4789741578826186752,NORMAL,AUTOMOBILE,5
24.3,0,37.536174,126.651508,13.45,4789741578858954752,NORMAL,AUTOMOBILE,5
24.3,0,37.536175,126.651210,13.24,4789741578867146752,NORMAL,AUTOMOBILE,5
24.3,0,37.536288,126.649946,7.69,4789741578916298752,NORMAL,AUTOMOBILE,5
24.3,0,37.536368,126.649938,8.43,4789741578920394752,NORMAL,AUTOMOBILE,5
24.3,0,37.537398,126.649936,15.01,4789741578953162752,NORMAL,AUTOMOBILE,5
24.3,0,37.537677,126.649957,15.24,4789741578961354752,NORMAL,AUTOMOBILE,5
24.3,0,37.538763,126.650003,15.83,4789741578994122752,NORMAL,AUTOMOBILE,5
24.3,0,37.539037,126.650013,14.90,4789741579006410752,NORMAL,AUTOMOBILE,5
8.1,0,37.538250,126.649278,7.85,4789741579239882752,NORMAL,AUTOMOBILE,5
8.1,0,37.538324,126.648048,9.21,4789741579289034752,NORMAL,AUTOMOBILE,5
8.1,0,37.538475,126.646918,2.58,4789741579358666752,NORMAL,AUTOMOBILE,5
121.3,0,37.537454,126.647940,0.00,4789741579858378752,STOP,AUTOMOBILE,5
8.1,0,37.538662,126.640519,9.29,4789741584785866752,NORMAL,AUTOMOBILE,35
8.1,0,37.537687,126.640561,10.02,4789741584822730752,NORMAL,AUTOMOBILE,35
8.1,0,37.537620,126.640563,8.21,4789741584826826752,NORMAL,AUTOMOBILE,35
8.1,0,37.536655,126.640565,9.07,4789741585052106752,NORMAL,AUTOMOBILE,35
8.1,0,37.535814,126.640564,12.34,4789741585084874752,NORMAL,AUTOMOBILE,35
8.1,0,37.535570,126.640564,13.51,4789741585093066752,NORMAL,AUTOMOBILE,35
8.1,0,37.534614,126.640572,12.58,4789741585125834752,NORMAL,AUTOMOBILE,35
8.1,0,37.534412,126.640575,11.32,4789741585134026752,NORMAL,AUTOMOBILE,35
8.1,0,37.533466,126.640569,13.61,4789741585166794752,NORMAL,AUTOMOBILE,35
8.1,0,37.533230,126.640574,13.07,4789741585174986752,NORMAL,AUTOMOBILE,35
8.1,0,37.532235,126.640560,10.15,4789741585363402752,NORMAL,AUTOMOBILE,35
8.1,0,37.531363,126.640532,12.11,4789741585400266752,NORMAL,AUTOMOBILE,35
8.1,0,37.531254,126.640531,11.99,4789741585404362752,NORMAL,AUTOMOBILE,35
8.1,0,37.532116,126.640662,8.97,4789741585670602752,NORMAL,AUTOMOBILE,35
76.0,0,37.532147,126.641493,0.00,4789741585998282752,STOP,AUTOMOBILE,35
8.2,0,37.538696,126.646750,4.74,4789741601472970752,NORMAL,AUTOMOBILE,56
8.2,0,37.538696,126.646750,4.74,4789741605053224432,END,,0
