accuracy,id,lat,lng,speed,time,type,state,stepCount
20.3,0,37.536193,126.652850,10.50,4789730862862794752,START,AUTOMOBILE,156
23.3,0,37.536191,126.651544,12.86,4789730862899658752,NORMAL,AUTOMOBILE,156
23.3,0,37.536193,126.651406,12.86,4789730862903754752,NORMAL,AUTOMOBILE,156
24.4,0,37.536209,126.650013,5.89,4789730863337930752,NORMAL,AUTOMOBILE,156
24.4,0,37.537231,126.649914,13.82,4789730863382986752,NORMAL,AUTOMOBILE,156
24.4,0,37.538227,126.649923,9.46,4789730863505866752,NORMAL,AUTOMOBILE,156
24.4,0,37.539282,126.649891,13.47,4789730863538634752,NORMAL,AUTOMOBILE,156
24.4,0,37.539480,126.649894,10.31,4789730863546826752,NORMAL,AUTOMOBILE,156
8.2,0,37.538600,126.649652,13.13,4789730863755722752,NORMAL,AUTOMOBILE,156
8.2,0,37.538245,126.648719,12.81,4789730863800778752,NORMAL,AUTOMOBILE,156
8.2,0,37.538449,126.647583,9.77,4789730863837642752,NORMAL,AUTOMOBILE,156
8.2,0,37.538477,126.647503,8.36,4789730863841738752,NORMAL,AUTOMOBILE,156
66.7,0,37.537989,126.648437,0.00,4789730864738762752,STOP,AUTOMOBILE,156
66.7,0,37.537989,126.648437,0.00,4789730877131780035,END,,0
