accuracy,id,lat,lng,speed,time,type,state,stepCount
55.4,0,37.533453,126.656006,0.00,4789726258606538752,START,WALK,39
47.5,0,37.533353,126.656461,0.00,4789726261240266752,STOP,WALK,0
23.2,0,37.533139,126.656605,1.52,4789726261264842752,NORMAL,WALK,0
40.5,0,37.532040,126.656873,0.00,4789726261592522752,STOP,WALK,151
20.5,0,37.536190,126.650451,10.61,4789726262890954752,NORMAL,AUTOMOBILE,0
20.5,0,37.536206,126.650357,8.19,4789726262895050752,NORMAL,AUTOMOBILE,0
22.9,0,37.536497,126.649971,5.57,4789726262936010752,NORMAL,AUTOMOBILE,0
22.6,0,37.537665,126.649945,17.09,4789726262972874752,NORMAL,AUTOMOBILE,0
22.6,0,37.537816,126.649949,17.09,4789726262976970752,NORMAL,AUTOMOBILE,0
24.3,0,37.538951,126.650010,17.32,4789726263005642752,NORMAL,AUTOMOBILE,0
24.3,0,37.539368,126.650025,13.94,4789726263017930752,NORMAL,AUTOMOBILE,0
8.1,0,37.538438,126.649697,10.29,4789726263144906752,NORMAL,AUTOMOBILE,0
8.1,0,37.538268,126.648448,13.02,4789726263194058752,NORMAL,AUTOMOBILE,0
8.1,0,37.538528,126.647361,0.75,4789726263263690752,STOP,AUTOMOBILE,0
8.1,0,37.538528,126.647361,0.75,4789726264237878493,END,,0
