Label,Frequency
"('UIBCCDA', 'UIBCCDB')",5
"('UIBCCDB', 'UIBCCDD')",8
"('UIBCCDD', 'UIDAABB')",35
"('UIDAABB', 'UIDAABD')",35
"('UIDAABD', 'UIDAADB')",34
"('UIDAADB', 'UIDABCA')",3
"('UIDABCA', 'UIDABCB')",4
"('UIDABCB', 'UIDABDA')",7
"('UIDABDA', 'UIDABDB')",18
"('UIDABDB', 'UIDABDA')",20
"('UIDABDA', 'UIDABDC')",25
"('UIDCCDC', 'UIDCDCD')",2
"('UIDCCDC', 'TIBABAA')",2
"('UIDCCDD', 'TIBAABB')",9
"('TIBAABB', 'TIBABAA')",8
"('UIDABDC', 'UIDABDA')",17
"('UIDCCDC', 'TIBAABA')",19
"('UIDABDC', 'UIDADBB')",3
"('UIDCCDC', 'UIDCCDD')",13
"('TIBAABA', 'UIDCCDC')",18
"('UIDBCCC', 'UIDDAAC')",2
"('UIDCCDD', 'UIDCCDB')",11
"('UIDCCCD', 'UIDCCCB')",1
"('UIDCCCB', 'UIDCCDC')",2
"('UIDCCDC', 'UIDCDCC')",1
"('UIDCDBC', 'UIDDACA')",1
"('UIDCCDC', 'UIDCCCD')",1
"('UIDCCCD', 'UIDCCDC')",5
"('UIDBCCD', 'UIDADDA')",1
"('UIDADBB', 'UIDCCDC')",1
"('UIDBCCC', 'UIDDAAA')",11
"('UIDCCDD', 'UIDCCDC')",7
"('UIDDAAA', 'UIDADDC')",1
"('UIDDAAB', 'UIDBCCD')",1
"('UIDBCCD', 'UIDBCCB')",1
"('UIDBCCB', 'UIDBCCA')",2
"('UIDBCCA', 'UIDBCAC')",2
"('UIDBCAC', 'UIDBCAA')",14
"('UIDBCAA', 'UIDADBB')",16
"('UIDADBB', 'UIDABDD')",2
"('UIDABDD', 'UIDABDC')",3
"('UIDABDC', 'UIDADBA')",75
"('UIDADBA', 'UIDADAB')",56
"('UIDADAB', 'UIDADAA')",33
"('UIDADAA', 'UIDABCC')",31
"('UIDABCC', 'UIDAADD')",29
"('UIDAADD', 'UIDACBA')",1
"('UIDACBA', 'UIDACAB')",2
"('UIDACAB', 'UIDAACD')",1
"('UIDAACD', 'UIDAACC')",1
"('UIDACAA', 'UIDACAC')",1
"('UIDACAC', 'UIDACAA')",1
"('UIDACAA', 'UIDACAB')",1
"('UIDACAB', 'UIDACAD')",4
"('UIDACAD', 'UIDACCB')",1
"('UIDACCB', 'UIDACDA')",2
"('UIDACDA', 'UIDACDC')",13
"('UIDACDC', 'UIDACCD')",6
"('UIDACCD', 'UIDCAAB')",7
"('UIDCAAB', 'UIDCAAD')",6
"('UIDCAAD', 'UIDCACB')",6
"('UIDCACB', 'UIDCADA')",6
"('UIDCADA', 'UIDCADC')",8
"('UIDCADC', 'UIDCADD')",2
"('UIDCADD', 'UIDCCBB')",2
"('UIDCCBB', 'UIDCDAA')",3
"('UIDCCBB', 'UIDCADD')",3
"('UIDCADD', 'UIDCADC')",3
"('UIDCADC', 'UIDCADA')",9
"('UIDCADA', 'UIDCACB')",7
"('UIDCACB', 'UIDCAAD')",7
"('UIDCAAD', 'UIDCAAB')",7
"('UIDCAAB', 'UIDACCD')",7
"('UIDACCD', 'UIDACDC')",7
"('UIDACDC', 'UIDACDD')",8
"('UIDACDD', 'UIDADCC')",8
"('UIDADCC', 'UIDADCD')",8
"('UIDADCD', 'UIDADCB')",8
"('UIDADCB', 'UIDADDA')",8
