accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
43.8,0,37.481183,126.952671,0.00,1698404000000,START,WALK,3,
43.8,0,37.481180,126.952668,0.00,1698404006000,STOP,WALK,4,
32.3,0,37.481182,126.952760,1.66,1698404916000,NORMAL,WALK,23,
34.5,0,37.480895,126.952754,0.64,1698404917000,STOP,WALK,23,
24.4,0,37.480928,126.952781,1.23,1698404919000,NORMAL,WALK,23,
24.4,0,37.480936,126.952795,1.75,1698404920000,NORMAL,WALK,23,
24.4,0,37.480958,126.952785,1.56,1698404921000,NORMAL,WALK,23,
24.4,0,37.480946,126.952763,0.15,1698404922000,STOP,WALK,23,
24.4,0,37.480975,126.952766,1.02,1698404924000,NORMAL,WALK,23,
24.4,0,37.481015,126.952781,1.75,1698404925000,NORMAL,WALK,23,
24.4,0,37.481011,126.952791,0.60,1698404926000,STOP,WALK,23,
24.3,0,37.481097,126.952832,1.33,1698404929000,NORMAL,WALK,23,
24.3,0,37.481130,126.952842,1.26,1698404930000,NORMAL,WALK,23,
24.3,0,37.481157,126.952859,1.13,1698404931000,NORMAL,WALK,23,
24.3,0,37.481174,126.952881,0.60,1698404932000,STOP,WALK,23,
24.3,0,37.481227,126.952881,1.13,1698404933000,NORMAL,WALK,23,
24.3,0,37.481239,126.952891,0.30,1698404934000,STOP,WALK,23,
24.3,0,37.481362,126.952949,1.11,1698404938000,NORMAL,WALK,23,
24.3,0,37.481375,126.952963,1.12,1698404939000,NORMAL,WALK,23,
24.3,0,37.481396,126.952964,0.88,1698404940000,STOP,WALK,23,
24.3,0,37.481435,126.952988,1.13,1698404942000,NORMAL,WALK,23,
24.3,0,37.481449,126.952993,0.66,1698404943000,STOP,WALK,23,
24.3,0,37.481502,126.953045,1.39,1698404947000,NORMAL,WALK,23,
24.3,0,37.481510,126.953060,0.83,1698404948000,STOP,WALK,23,
24.3,0,37.481571,126.953108,1.42,1698404951000,NORMAL,WALK,23,
24.3,0,37.481589,126.953127,1.29,1698404952000,NORMAL,WALK,23,
24.3,0,37.481604,126.953134,1.00,1698404953000,NORMAL,WALK,23,
24.3,0,37.481626,126.953149,1.09,1698404954000,NORMAL,WALK,23,
24.3,0,37.481642,126.953161,0.65,1698404955000,STOP,WALK,23,
24.3,0,37.481700,126.953206,1.03,1698404957000,NORMAL,WALK,23,
24.3,0,37.481713,126.953239,1.41,1698404958000,NORMAL,WALK,23,
24.3,0,37.481725,126.953254,1.07,1698404959000,NORMAL,WALK,23,
24.3,0,37.481730,126.953276,0.77,1698404960000,STOP,WALK,23,
24.3,0,37.481841,126.953403,1.21,1698404967000,NORMAL,WALK,23,
24.3,0,37.481839,126.953411,0.79,1698404968000,STOP,WALK,23,
24.3,0,37.481817,126.953459,1.65,1698404971000,NORMAL,WALK,23,
24.3,0,37.481806,126.953467,1.21,1698404972000,NORMAL,WALK,23,
24.3,0,37.481795,126.953464,0.73,1698404973000,STOP,WALK,23,
24.3,0,37.481789,126.953488,1.08,1698404975000,NORMAL,WALK,23,
24.3,0,37.481789,126.953500,0.91,1698404976000,STOP,WALK,23,
24.3,0,37.481783,126.953514,1.11,1698404977000,NORMAL,WALK,23,
24.3,0,37.481769,126.953524,1.23,1698404978000,NORMAL,WALK,23,
24.3,0,37.481773,126.953533,0.71,1698404979000,STOP,WALK,23,
24.3,0,37.481780,126.953589,1.04,1698404984000,NORMAL,WALK,23,
24.3,0,37.481776,126.953600,0.97,1698404985000,STOP,WALK,23,
24.3,0,37.481737,126.953673,1.21,1698404993000,NORMAL,WALK,23,
