accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
39.6,0,37.437382,126.801256,0.00,1699694842000,START,WALK,10,
39.5,0,37.437386,126.801278,0.00,1699694848000,STOP,WALK,10,
35.9,0,37.437980,126.801865,2.59,1699695352000,NORMAL,WALK,11,
25.5,0,37.437899,126.801907,2.11,1699695353000,NORMAL,WALK,11,
19.7,0,37.437820,126.801958,1.98,1699695354000,NORMAL,WALK,11,
16.7,0,37.437807,126.801965,1.49,1699695355000,NORMAL,WALK,11,
13.6,0,37.437775,126.801972,1.49,1699695356000,NORMAL,WALK,11,
11.0,0,37.437752,126.801985,1.49,1699695357000,NORMAL,WALK,11,
8.6,0,37.437737,126.801996,1.59,1699695358000,NORMAL,WALK,11,
7.8,0,37.437722,126.802014,1.69,1699695359000,NORMAL,WALK,11,
7.9,0,37.437714,126.802036,1.80,1699695360000,NORMAL,WALK,11,
8.0,0,37.437710,126.802053,1.74,1699695361000,NORMAL,WALK,11,
8.0,0,37.437713,126.802076,1.76,1699695362000,NORMAL,WALK,11,
8.1,0,37.437709,126.802088,1.64,1699695363000,NORMAL,WALK,11,
8.1,0,37.437706,126.802100,1.64,1699695364000,NORMAL,WALK,11,
8.1,0,37.437705,126.802112,1.56,1699695365000,NORMAL,WALK,11,
8.1,0,37.437702,126.802129,1.52,1699695366000,NORMAL,WALK,11,
8.1,0,37.437701,126.802149,1.56,1699695367000,NORMAL,WALK,11,
8.1,0,37.437700,126.802167,1.56,1699695368000,NORMAL,WALK,11,
8.1,0,37.437693,126.802180,1.54,1699695369000,NORMAL,WALK,11,
8.1,0,37.437683,126.802203,1.33,1699695370000,NORMAL,WALK,11,
8.1,0,37.437617,126.802195,1.67,1699695371000,NORMAL,WALK,11,
8.1,0,37.437613,126.802211,1.52,1699695372000,NORMAL,WALK,11,
8.1,0,37.437610,126.802227,1.46,1699695373000,NORMAL,WALK,11,
8.1,0,37.437599,126.802240,1.45,1699695374000,NORMAL,WALK,11,
8.1,0,37.437592,126.802252,1.30,1699695375000,NORMAL,WALK,11,
8.1,0,37.437591,126.802266,1.30,1699695376000,NORMAL,WALK,11,
8.1,0,37.437589,126.802273,1.35,1699695377000,NORMAL,WALK,11,
8.1,0,37.437612,126.802268,0.60,1699695378000,STOP,WALK,11,
8.1,0,37.437623,126.802233,1.80,1699695379000,NORMAL,WALK,11,
8.1,0,37.437603,126.802227,1.52,1699695380000,NORMAL,WALK,11,
8.0,0,37.437603,126.802211,1.52,1699695381000,NORMAL,WALK,11,
7.8,0,37.437605,126.802194,1.55,1699695382000,NORMAL,WALK,11,
7.5,0,37.437615,126.802180,1.49,1699695383000,NORMAL,WALK,11,
7.7,0,37.437625,126.802163,1.51,1699695384000,NORMAL,WALK,11,
8.7,0,37.437623,126.802137,1.57,1699695385000,NORMAL,WALK,11,
10.4,0,37.437621,126.802109,1.69,1699695386000,NORMAL,WALK,11,
12.4,0,37.437622,126.802086,1.72,1699695387000,NORMAL,WALK,11,
14.6,0,37.437625,126.802064,1.72,1699695388000,NORMAL,WALK,11,
15.7,0,37.437628,126.802045,1.73,1699695389000,NORMAL,WALK,11,
24.0,0,37.437540,126.802384,1.18,1699695390000,NORMAL,WALK,11,
86.1,0,37.437668,126.802296,0.00,1699695406000,STOP,WALK,1,
11.5,0,37.437607,126.802241,1.14,1699695541000,NORMAL,WALK,18,
8.4,0,37.437595,126.802205,1.60,1699695542000,NORMAL,WALK,18,
7.8,0,37.437624,126.802181,1.57,1699695543000,NORMAL,WALK,18,
7.9,0,37.437632,126.802165,1.18,1699695544000,NORMAL,WALK,18,
8.1,0,37.437622,126.802167,0.58,1699695545000,STOP,WALK,18,
8.1,0,37.437629,126.802150,1.21,1699695546000,NORMAL,WALK,18,
8.1,0,37.437642,126.802144,1.15,1699695547000,NORMAL,WALK,18,
8.1,0,37.437645,126.802129,1.53,1699695548000,NORMAL,WALK,18,
8.1,0,37.437646,126.802106,1.79,1699695549000,NORMAL,WALK,18,
8.1,0,37.437646,126.802096,1.33,1699695550000,NORMAL,WALK,18,
8.1,0,37.437673,126.802093,1.36,1699695551000,NORMAL,WALK,18,
8.1,0,37.437670,126.802074,1.24,1699695552000,NORMAL,WALK,18,
8.1,0,37.437673,126.802057,1.27,1699695553000,NORMAL,WALK,18,
8.1,0,37.437677,126.802042,1.29,1699695554000,NORMAL,WALK,18,
8.1,0,37.437691,126.802025,1.37,1699695555000,NORMAL,WALK,18,
8.1,0,37.437685,126.802008,1.18,1699695556000,NORMAL,WALK,18,
8.1,0,37.437682,126.801984,1.34,1699695557000,NORMAL,WALK,18,
8.1,0,37.437692,126.801976,1.12,1699695558000,NORMAL,WALK,18,
8.1,0,37.437698,126.801968,1.15,1699695559000,NORMAL,WALK,18,
8.1,0,37.437711,126.801963,1.31,1699695560000,NORMAL,WALK,18,
8.1,0,37.437719,126.801946,1.63,1699695561000,NORMAL,WALK,18,
8.1,0,37.437715,126.801940,1.22,1699695562000,NORMAL,WALK,18,
8.1,0,37.437717,126.801925,1.24,1699695563000,NORMAL,WALK,18,
8.1,0,37.437724,126.801915,1.15,1699695564000,NORMAL,WALK,18,
8.1,0,37.437729,126.801903,1.12,1699695565000,NORMAL,WALK,18,
8.1,0,37.437725,126.801888,0.97,1699695566000,STOP,WALK,18,
8.1,0,37.437722,126.801855,1.22,1699695568000,NORMAL,WALK,18,
8.1,0,37.437708,126.801825,1.53,1699695569000,NORMAL,WALK,18,
8.1,0,37.437708,126.801817,0.97,1699695570000,STOP,WALK,18,
8.1,0,37.437755,126.801816,1.13,1699695578000,NORMAL,WALK,18,
8.1,0,37.437768,126.801808,1.09,1699695579000,NORMAL,WALK,18,
8.1,0,37.437776,126.801805,1.00,1699695580000,STOP,WALK,18,
8.0,0,37.437797,126.801816,1.36,1699695581000,NORMAL,WALK,18,
7.9,0,37.437814,126.801817,1.66,1699695582000,NORMAL,WALK,18,
8.0,0,37.437821,126.801800,1.48,1699695583000,NORMAL,WALK,18,
7.9,0,37.437831,126.801795,1.25,1699695584000,NORMAL,WALK,18,
7.6,0,37.437847,126.801792,1.63,1699695585000,NORMAL,WALK,18,
7.3,0,37.437864,126.801788,1.67,1699695586000,NORMAL,WALK,18,
8.4,0,37.437881,126.801779,1.48,1699695587000,NORMAL,WALK,18,
10.4,0,37.437895,126.801770,1.40,1699695588000,NORMAL,WALK,18,
12.4,0,37.437901,126.801768,1.38,1699695589000,NORMAL,WALK,18,
35.1,0,37.437196,126.801755,2.77,1699695590000,NORMAL,WALK,18,
38.5,0,37.437168,126.801754,2.80,1699695591000,NORMAL,WALK,18,
42.3,0,37.437140,126.801753,2.80,1699695592000,NORMAL,WALK,18,
46.2,0,37.437110,126.801751,2.83,1699695593000,NORMAL,WALK,18,
64.4,0,37.437356,126.801495,0.00,1699695606000,STOP,WALK,12,
64.4,0,37.437356,126.801495,0.00,1699695992981,END,,0,
