accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
9.2,0,37.409292,126.817089,0.59,1700551236000,START,WALK,16,
8.3,0,37.409316,126.817094,0.36,1700551237000,STOP,WALK,16,
8.0,0,37.409323,126.817068,1.07,1700551239000,NORMAL,WALK,16,
8.0,0,37.409288,126.817050,0.91,1700551240000,STOP,WALK,16,
8.1,0,37.409260,126.817021,1.21,1700551241000,NORMAL,WALK,16,
8.1,0,37.409202,126.817001,1.23,1700551242000,NORMAL,WALK,16,
8.1,0,37.409179,126.817003,0.97,1700551243000,STOP,WALK,16,
8.1,0,37.409145,126.816999,1.14,1700551247000,NORMAL,WALK,16,
8.1,0,37.409145,126.816996,0.82,1700551248000,STOP,WALK,16,
8.1,0,37.409064,126.816923,1.04,1700551254000,NORMAL,WALK,16,
8.1,0,37.409047,126.816922,1.21,1700551255000,NORMAL,WALK,16,
8.1,0,37.409031,126.816924,1.35,1700551256000,NORMAL,WALK,16,
8.1,0,37.409016,126.816928,1.42,1700551257000,NORMAL,WALK,16,
8.1,0,37.408998,126.816933,1.47,1700551258000,NORMAL,WALK,16,
8.1,0,37.408992,126.816933,0.89,1700551259000,STOP,WALK,16,
8.1,0,37.408965,126.816956,1.60,1700551262000,NORMAL,WALK,16,
8.1,0,37.408942,126.816962,1.36,1700551263000,NORMAL,WALK,16,
8.1,0,37.408930,126.816965,0.74,1700551264000,STOP,WALK,16,
8.1,0,37.408892,126.816973,1.12,1700551266000,NORMAL,WALK,16,
8.1,0,37.408875,126.816984,1.22,1700551267000,NORMAL,WALK,16,
8.1,0,37.408862,126.816996,1.13,1700551268000,NORMAL,WALK,16,
8.1,0,37.408848,126.816999,1.01,1700551269000,NORMAL,WALK,16,
8.1,0,37.408836,126.816994,0.83,1700551270000,STOP,WALK,16,
8.1,0,37.408805,126.817006,1.09,1700551272000,NORMAL,WALK,16,
8.1,0,37.408789,126.817009,1.31,1700551273000,NORMAL,WALK,16,
8.1,0,37.408766,126.817009,1.44,1700551274000,NORMAL,WALK,16,
8.1,0,37.408751,126.817019,1.38,1700551275000,NORMAL,WALK,16,
8.1,0,37.408740,126.817028,1.35,1700551276000,NORMAL,WALK,16,
8.1,0,37.408728,126.817021,1.14,1700551277000,NORMAL,WALK,16,
8.1,0,37.408719,126.817032,1.06,1700551278000,NORMAL,WALK,16,
8.1,0,37.408721,126.817043,0.55,1700551279000,STOP,WALK,16,
8.1,0,37.408732,126.817091,1.30,1700551281000,NORMAL,WALK,16,
8.1,0,37.408740,126.817116,1.56,1700551282000,NORMAL,WALK,16,
8.1,0,37.408748,126.817134,1.42,1700551283000,NORMAL,WALK,16,
8.1,0,37.408754,126.817148,1.35,1700551284000,NORMAL,WALK,16,
8.1,0,37.408756,126.817154,0.86,1700551285000,STOP,WALK,16,
8.1,0,37.408761,126.817186,1.09,1700551288000,NORMAL,WALK,16,
8.1,0,37.408763,126.817194,0.93,1700551289000,STOP,WALK,16,
8.1,0,37.408760,126.817232,1.34,1700551291000,NORMAL,WALK,16,
8.1,0,37.408760,126.817255,1.38,1700551292000,NORMAL,WALK,16,
8.1,0,37.408772,126.817269,1.25,1700551293000,NORMAL,WALK,16,
8.1,0,37.408772,126.817285,0.86,1700551294000,STOP,WALK,16,
8.1,0,37.408805,126.817327,1.09,1700551297000,NORMAL,WALK,16,
8.1,0,37.408808,126.817350,1.17,1700551298000,NORMAL,WALK,16,
8.1,0,37.408835,126.817353,1.28,1700551299000,NORMAL,WALK,16,
8.1,0,37.408834,126.817367,0.76,1700551300000,STOP,WALK,16,
8.1,0,37.408841,126.817387,1.04,1700551301000,NORMAL,WALK,16,
8.1,0,37.408848,126.817416,1.47,1700551302000,NORMAL,WALK,16,
8.1,0,37.408844,126.817434,1.39,1700551303000,NORMAL,WALK,16,
8.1,0,37.408847,126.817441,0.96,1700551304000,STOP,WALK,16,
8.1,0,37.408847,126.817460,1.15,1700551305000,NORMAL,WALK,16,
8.1,0,37.408847,126.817474,1.09,1700551306000,NORMAL,WALK,16,
8.1,0,37.408850,126.817493,1.28,1700551307000,NORMAL,WALK,16,
