accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
13.1,0,37.409162,126.817183,1.63,1699010774000,START,WALK,8,
15.0,0,37.409170,126.817170,1.78,1699010775000,NORMAL,WALK,8,
12.2,0,37.409168,126.817177,0.00,1699010776000,STOP,WALK,8,
8.1,0,37.409077,126.817075,1.08,1699010974000,NORMAL,WALK,10,
8.1,0,37.409069,126.817068,0.95,1699010975000,STOP,WALK,10,
8.1,0,37.409048,126.817046,1.07,1699010977000,NORMAL,WALK,10,
8.1,0,37.409037,126.817030,1.40,1699010978000,NORMAL,WALK,10,
8.1,0,37.409040,126.817009,1.18,1699010979000,NORMAL,WALK,10,
8.1,0,37.409035,126.816995,0.98,1699010980000,STOP,WALK,10,
8.1,0,37.409025,126.816934,1.24,1699011006000,NORMAL,WALK,10,
8.1,0,37.409025,126.816923,0.57,1699011007000,STOP,WALK,10,
8.1,0,37.409071,126.816886,1.09,1699011014000,NORMAL,WALK,10,
8.1,0,37.409085,126.816877,1.20,1699011015000,NORMAL,WALK,10,
8.1,0,37.409081,126.816862,0.64,1699011016000,STOP,WALK,10,
8.1,0,37.409249,126.816861,1.39,1699011078000,NORMAL,WALK,10,
8.1,0,37.409272,126.816852,1.55,1699011079000,NORMAL,WALK,10,
8.1,0,37.409283,126.816844,1.54,1699011080000,NORMAL,WALK,10,
8.1,0,37.409298,126.816827,1.76,1699011081000,NORMAL,WALK,10,
8.1,0,37.409316,126.816814,1.96,1699011082000,NORMAL,WALK,10,
8.1,0,37.409324,126.816788,1.73,1699011083000,NORMAL,WALK,10,
8.1,0,37.409336,126.816773,1.70,1699011084000,NORMAL,WALK,10,
8.1,0,37.409347,126.816762,1.61,1699011085000,NORMAL,WALK,10,
8.1,0,37.409374,126.816754,2.04,1699011086000,NORMAL,WALK,10,
8.1,0,37.409394,126.816774,1.72,1699011087000,NORMAL,WALK,10,
8.1,0,37.409414,126.816769,1.93,1699011088000,NORMAL,WALK,10,
8.1,0,37.409427,126.816706,2.85,1699011089000,NORMAL,WALK,10,
8.1,0,37.409417,126.816654,3.16,1699011090000,NORMAL,WALK,10,
8.1,0,37.409421,126.816633,2.52,1699011091000,NORMAL,WALK,10,
8.1,0,37.409420,126.816636,0.00,1699011092000,STOP,WALK,10,
8.0,0,37.409490,126.816566,1.40,1699011095000,NORMAL,WALK,10,
7.9,0,37.409500,126.816559,1.30,1699011096000,NORMAL,WALK,10,
8.0,0,37.409524,126.816551,1.52,1699011097000,NORMAL,WALK,10,
7.9,0,37.409539,126.816547,1.52,1699011098000,NORMAL,WALK,10,
8.0,0,37.409520,126.816489,0.83,1699011099000,STOP,WALK,10,
8.1,0,37.409623,126.816386,2.01,1699011103000,NORMAL,WALK,10,
8.1,0,37.409654,126.816344,2.86,1699011104000,NORMAL,WALK,10,
8.1,0,37.409674,126.816306,3.20,1699011105000,NORMAL,WALK,10,
8.1,0,37.409673,126.816294,1.85,1699011106000,NORMAL,WALK,10,
8.1,0,37.409697,126.816259,2.48,1699011107000,NORMAL,WALK,10,
8.0,0,37.409718,126.816218,3.01,1699011108000,NORMAL,WALK,10,
8.0,0,37.409724,126.816184,2.93,1699011109000,NORMAL,WALK,10,
8.0,0,37.409729,126.816161,2.66,1699011110000,NORMAL,WALK,10,
8.0,0,37.409729,126.816157,1.89,1699011111000,NORMAL,WALK,10,
8.1,0,37.409713,126.816122,2.13,1699011112000,NORMAL,WALK,10,
8.0,0,37.409714,126.816099,2.02,1699011113000,NORMAL,WALK,10,
8.0,0,37.409721,126.816047,2.91,1699011114000,NORMAL,WALK,10,
7.9,0,37.409741,126.815992,3.64,1699011115000,NORMAL,WALK,10,
7.9,0,37.409765,126.815945,3.98,1699011116000,NORMAL,WALK,10,
7.6,0,37.409775,126.815907,3.84,1699011117000,NORMAL,WALK,10,
8.1,0,37.409765,126.815889,3.06,1699011118000,NORMAL,WALK,10,
8.6,0,37.409699,126.815843,3.56,1699011119000,NORMAL,WALK,10,
8.0,0,37.409575,126.815970,3.61,1699011120000,NORMAL,WALK,10,
7.7,0,37.409548,126.815960,3.49,1699011121000,NORMAL,WALK,10,
7.6,0,37.409557,126.815942,2.46,1699011122000,NORMAL,WALK,10,
8.2,0,37.409560,126.815935,1.83,1699011123000,NORMAL,WALK,10,
8.0,0,37.409587,126.815857,2.61,1699011124000,NORMAL,WALK,10,
8.0,0,37.409609,126.815816,2.80,1699011125000,NORMAL,WALK,10,
8.1,0,37.409619,126.815777,3.04,1699011126000,NORMAL,WALK,10,
7.9,0,37.409633,126.815705,3.10,1699011127000,NORMAL,WALK,10,
8.1,0,37.409677,126.815628,2.55,1699011128000,NORMAL,WALK,10,
8.1,0,37.409695,126.815585,1.60,1699011129000,NORMAL,WALK,10,
8.1,0,37.409697,126.815549,1.78,1699011130000,NORMAL,WALK,10,
8.1,0,37.409700,126.815521,2.00,1699011131000,NORMAL,WALK,10,
8.0,0,37.409724,126.815469,3.05,1699011132000,NORMAL,WALK,10,
7.8,0,37.409736,126.815437,3.18,1699011133000,NORMAL,WALK,10,
7.8,0,37.409737,126.815382,3.63,1699011134000,NORMAL,WALK,10,
7.8,0,37.409791,126.815302,4.98,1699011135000,NORMAL,WALK,10,
8.0,0,37.409759,126.815278,4.29,1699011136000,NORMAL,WALK,10,
7.8,0,37.409764,126.815233,4.36,1699011137000,NORMAL,WALK,10,
8.4,0,37.409773,126.815188,4.32,1699011138000,NORMAL,WALK,10,
7.4,0,37.409813,126.815261,2.19,1699011139000,NORMAL,WALK,10,
7.9,0,37.409901,126.815400,3.43,1699011140000,NORMAL,WALK,10,
7.9,0,37.410006,126.815419,5.36,1699011141000,NORMAL,WALK,10,
8.1,0,37.410095,126.815458,6.09,1699011142000,NORMAL,WALK,10,
8.1,0,37.410147,126.815461,5.50,1699011143000,NORMAL,WALK,10,
8.1,0,37.410233,126.815473,6.15,1699011144000,NORMAL,WALK,10,
8.1,0,37.410311,126.815484,6.47,1699011145000,NORMAL,WALK,10,
8.1,0,37.410374,126.815499,6.49,1699011146000,NORMAL,WALK,10,
8.1,0,37.410438,126.815515,6.74,1699011147000,NORMAL,WALK,10,
8.1,0,37.410501,126.815530,6.86,1699011148000,NORMAL,WALK,10,
8.1,0,37.410557,126.815550,6.59,1699011149000,NORMAL,WALK,10,
8.1,0,37.410612,126.815560,6.12,1699011150000,NORMAL,WALK,10,
8.1,0,37.410658,126.815580,5.62,1699011151000,NORMAL,WALK,10,
8.1,0,37.410710,126.815590,5.40,1699011152000,NORMAL,WALK,10,
8.1,0,37.410745,126.815611,4.97,1699011153000,NORMAL,WALK,10,
8.1,0,37.410781,126.815627,4.67,1699011154000,NORMAL,WALK,10,
8.1,0,37.410823,126.815640,4.70,1699011155000,NORMAL,WALK,10,
8.1,0,37.410863,126.815616,4.66,1699011156000,NORMAL,WALK,10,
8.1,0,37.410912,126.815631,4.95,1699011157000,NORMAL,WALK,10,
8.1,0,37.410957,126.815613,5.11,1699011158000,NORMAL,WALK,10,
8.1,0,37.411001,126.815598,4.98,1699011159000,NORMAL,WALK,10,
8.1,0,37.411035,126.815565,4.71,1699011160000,NORMAL,WALK,10,
8.1,0,37.411078,126.815550,4.74,1699011161000,NORMAL,WALK,10,
8.1,0,37.411121,126.815535,4.83,1699011162000,NORMAL,WALK,10,
8.1,0,37.411158,126.815516,4.65,1699011163000,NORMAL,WALK,10,
8.1,0,37.411195,126.815503,4.40,1699011164000,NORMAL,WALK,10,
8.1,0,37.411218,126.815506,3.51,1699011165000,NORMAL,WALK,10,
8.1,0,37.411247,126.815493,3.49,1699011166000,NORMAL,WALK,10,
8.1,0,37.411298,126.815474,4.62,1699011167000,NORMAL,WALK,10,
8.1,0,37.411345,126.815446,5.17,1699011168000,NORMAL,WALK,10,
8.1,0,37.411382,126.815423,5.03,1699011169000,NORMAL,WALK,10,
8.1,0,37.411440,126.815396,5.77,1699011170000,NORMAL,WALK,10,
8.1,0,37.411457,126.815388,4.29,1699011171000,NORMAL,WALK,10,
8.1,0,37.411530,126.815351,6.19,1699011172000,NORMAL,WALK,10,
8.1,0,37.411590,126.815342,6.44,1699011173000,NORMAL,WALK,10,
8.1,0,37.411663,126.815323,7.31,1699011174000,NORMAL,WALK,10,
8.1,0,37.411736,126.815310,7.84,1699011175000,NORMAL,WALK,10,
8.1,0,37.411792,126.815277,7.57,1699011176000,NORMAL,WALK,10,
8.1,0,37.411866,126.815249,7.83,1699011177000,NORMAL,WALK,10,
8.1,0,37.411906,126.815211,6.77,1699011178000,NORMAL,WALK,10,
8.1,0,37.411973,126.815195,7.23,1699011179000,NORMAL,WALK,10,
8.1,0,37.412009,126.815182,6.14,1699011180000,NORMAL,WALK,10,
8.1,0,37.412091,126.815152,7.19,1699011181000,NORMAL,WALK,10,
8.1,0,37.412193,126.815115,8.55,1699011182000,NORMAL,WALK,10,
8.1,0,37.412266,126.815076,8.51,1699011183000,NORMAL,WALK,10,
8.1,0,37.412352,126.815025,9.26,1699011184000,NORMAL,WALK,10,
8.1,0,37.412436,126.814974,9.95,1699011185000,NORMAL,WALK,10,
8.0,0,37.412527,126.814920,10.45,1699011186000,NORMAL,WALK,10,
8.1,0,37.412654,126.814850,10.80,1699011187000,NORMAL,WALK,10,
8.1,0,37.412710,126.814801,9.40,1699011188000,NORMAL,WALK,10,
8.1,0,37.412778,126.814771,8.68,1699011189000,NORMAL,WALK,10,
8.1,0,37.412856,126.814724,8.95,1699011190000,NORMAL,WALK,10,
8.1,0,37.412927,126.814717,8.31,1699011191000,NORMAL,WALK,10,
12.0,0,37.412987,126.814736,7.54,1699011192000,NORMAL,WALK,10,
8.1,0,37.413050,126.814730,6.66,1699011193000,NORMAL,WALK,10,
8.1,0,37.413094,126.814726,5.45,1699011194000,NORMAL,WALK,10,
8.1,0,37.413158,126.814720,6.17,1699011195000,NORMAL,WALK,10,
8.1,0,37.413215,126.814715,6.14,1699011196000,NORMAL,WALK,10,
8.1,0,37.413278,126.814710,6.40,1699011197000,NORMAL,WALK,10,
8.1,0,37.413347,126.814694,7.08,1699011198000,NORMAL,WALK,10,
8.1,0,37.413417,126.814727,7.38,1699011199000,NORMAL,WALK,10,
8.1,0,37.413451,126.814710,5.63,1699011200000,NORMAL,WALK,10,
8.1,0,37.413489,126.814705,4.96,1699011201000,NORMAL,WALK,10,
8.1,0,37.413552,126.814695,5.69,1699011202000,NORMAL,WALK,10,
8.1,0,37.413617,126.814684,6.34,1699011203000,NORMAL,WALK,10,
8.1,0,37.413673,126.814671,6.21,1699011204000,NORMAL,WALK,10,
8.1,0,37.413714,126.814678,5.42,1699011205000,NORMAL,WALK,10,
8.1,0,37.413762,126.814677,5.25,1699011206000,NORMAL,WALK,10,
8.1,0,37.413810,126.814670,5.19,1699011207000,NORMAL,WALK,10,
8.1,0,37.413850,126.814667,4.85,1699011208000,NORMAL,WALK,10,
8.1,0,37.413890,126.814672,4.69,1699011209000,NORMAL,WALK,10,
8.1,0,37.413939,126.814670,5.14,1699011210000,NORMAL,WALK,10,
8.1,0,37.413987,126.814674,5.32,1699011211000,NORMAL,WALK,10,
8.1,0,37.414027,126.814681,5.06,1699011212000,NORMAL,WALK,10,
8.1,0,37.414064,126.814686,4.47,1699011213000,NORMAL,WALK,10,
8.1,0,37.414090,126.814698,3.74,1699011214000,NORMAL,WALK,10,
8.1,0,37.414120,126.814705,3.59,1699011215000,NORMAL,WALK,10,
8.1,0,37.414152,126.814711,3.62,1699011216000,NORMAL,WALK,10,
8.1,0,37.414187,126.814712,3.55,1699011217000,NORMAL,WALK,10,
8.1,0,37.414213,126.814728,3.24,1699011218000,NORMAL,WALK,10,
8.1,0,37.414247,126.814718,3.24,1699011219000,NORMAL,WALK,10,
8.1,0,37.414252,126.814731,2.07,1699011220000,NORMAL,WALK,10,
8.1,0,37.414262,126.814738,1.52,1699011221000,NORMAL,WALK,10,
8.1,0,37.414270,126.814739,1.13,1699011222000,NORMAL,WALK,10,
8.1,0,37.414275,126.814748,0.97,1699011223000,STOP,WALK,10,
8.1,0,37.414283,126.814754,1.13,1699011224000,NORMAL,WALK,10,
8.1,0,37.414292,126.814751,1.07,1699011225000,NORMAL,WALK,10,
8.1,0,37.414309,126.814732,1.43,1699011226000,NORMAL,WALK,10,
8.1,0,37.414330,126.814735,1.86,1699011227000,NORMAL,WALK,10,
