cell_GeoLabel,S
VJDDCDC,N
VJDDCDD,N
VJDDCDB,N
VJDDDCA,N
VJDDDCC,N
VJDDDCD,N
UJBBBAD,N
UJBBBBC,N
UJBBBDA,N
UJBBBDC,N
UJBBBDD,N
UJBBDBB,N
UJBBDBD,N
UJBBDDB,N
UJBBDDD,N
UJBDBBB,N
UKACAAC,N
UJBDBDB,N
UJBDBDD,N
UJBDBDC,N
UJBDDBA,N
UJBDDAB,N
UJBDDAA,N
UJBDCBB,N
UJBDCBD,N
UJBDDAC,N
UJBDDAD,N
UJBDDCB,N
UJBDDDA,N
UJBDDDC,N
UJDBBBA,N
UJDBBBB,N
UJDBBBD,N
UJDBBDB,N
UKCAACA,N
UKCAACB,N
UKCAADA,N
UKCAADC,N
UKCAADD,N
UKCACBB,N
UKCADAA,N
UKCADAC,N
UKCADCA,N
UKCADCB,N
UKCADCA,N
UKCADCC,N
UKCADCD,N
UKCCBAB,N
UKCCBAA,N
UKCCBAC,N
UKCCBCA,N
UKCCBCC,N
UKCCDAA,N
UKCCDAC,N
UKCCDCA,AN
UKCCDCC,AN
UKCCCDD,AN
UKCCCDB,AN
UKCCCDA,N
UKCCCDC,N
TKAAABA,N
TKAAABC,N
TKAAADA,N
TKAAADC,N
TKAACBA,N
TKAACBC,N
TKAACDA,N
TKAACDC,N
TKACABA,N
TKACABC,N
TKACADA,N
TKACADC,N
TKACCBA,N
TKACCBC,N
TKACCDA,N
TKACCDC,N
TKCAABA,N
TKCAABC,N
TKCAABD,N
TKCAABC,N
TKCAABD,N
TKCAADB,N
TKCAADA,N
TKCAADC,N
TKCACAB,AN
TKCACAD,AN
TKCACCB,AN
TKCACCD,AN
TKCCAAB,AN
TKCCAAD,AN
TKCCACB,AN
TKCCACD,AN
TKCCACC,AN
TKCCCAA,AN
TKCCCAC,AN
TKCCCAD,AN
TKCCCCB,AN
TKCCCDA,AN
TKCCCDC,AN
TKCCCDD,AN
SKAAABB,AN
SKAABAC,AN
SKAABCA,AN
SKAABCC,AN
SKAABCD,AN
SKAADAB,N
SKAADAD,N
SKAADBC,N
SKAADDA,N
SKAADDC,N
SKACBBA,N
SKACBBC,N
SKACBBD,AN
SKADA,AN
SKADCB,AN
SKADD,AN
SKBCCCC,AN
SKDAAAA,AN
SKDAAAB,AN
SKDAABA,AN
SKDAABC,AN
SKDAAAD,AN
SKDAACB,AN
SKDAACD,AN
SKDACAB,AN
SKDACAD,AN
SKDACAC,AN
SKDACCA,AN
SKDACCC,AN
SKCBDDD,AN
SKCDB,AN
SKCDD,AN
SKCDCDB,AN
SKCDCDD,AN
SKCDCDC,AN
RKABABA,AN
RKABABC,AN
RKABAAD,AN
RKABACB,AN
RKABACA,AN
RKABACC,AN
RKABACD,AN
RKABCAB,AN
RKABADC,AN
RKABCBA,AN
RKABADC,AN
RKABCBA,AN
