pair,F2,S1,S2,lF,PF
"('', 'VJDDCDC')",,,,,
"('VJDDCDC', 'VJDDCDD')",N,,,,46
"('VJDDCDD', 'VJDDCDB')",N,,,,31
"('VJDDCDB', 'VJDDDCA')",N,,,,30
"('VJDDDCA', 'VJDDDCC')",N,,,,24
"('VJDDDCC', 'VJDDDCD')",N,,,,24
"('VJDDDCD', 'UJBBBAD')",N,,,,11
"('UJBBBAD', 'UJBBBBC')",N,,,,10
"('UJBBBBC', 'UJBBBDA')",N,,,,10
"('UJBBBDA', 'UJBBBDC')",N,,,,24
"('UJBBBDC', 'UJBBBDD')",N,,,,24
"('UJBBBDD', 'UJBBDBB')",N,,,,24
"('UJBBDBB', 'UJBBDBD')",N,,,,11
"('UJBBDBD', 'UJBBDDB')",N,,,,11
"('UJBBDDB', 'UJBBDDD')",N,,,,11
"('UJBBDDD', 'UJBDBBB')",N,,,,11
"('UJBDBBB', 'UKACAAC')",AN,,,,2
"('UKACAAC', 'UJBDBDB')",AN,,,,1
"('UJBDBDB', 'UJBDBDD')",N,,,,24
"('UJBDBDD', 'UJBDBDC')",N,,,,11
"('UJBDBDC', 'UJBDDBA')",N,,,,11
"('UJBDDBA', 'UJBDDAB')",N,,,,11
"('UJBDDAB', 'UJBDDAA')",N,,,,12
"('UJBDDAA', 'UJBDCBB')",N,,,,11
"('UJBDCBB', 'UJBDCBD')",N,,,,11
"('UJBDCBD', 'UJBDDAC')",N,,,,10
"('UJBDDAC', 'UJBDDAD')",N,,,,9
"('UJBDDAD', 'UJBDDCB')",N,,,,9
"('UJBDDCB', 'UJBDDDA')",N,,,,21
"('UJBDDDA', 'UJBDDDC')",N,,,,11
"('UJBDDDC', 'UJDBBBA')",N,,,,11
"('UJDBBBA', 'UJDBBBB')",N,,,,10
"('UJDBBBB', 'UJDBBBD')",N,,,,10
"('UJDBBBD', 'UJDBBDB')",N,,,,11
"('UJDBBDB', 'UKCAACA')",N,,,,24
"('UKCAACA', 'UKCAACB')",N,,,,24
"('UKCAACB', 'UKCAADA')",N,,,,7
"('UKCAADA', 'UKCAADC')",N,,,,7
"('UKCAADC', 'UKCAADD')",N,,,,11
"('UKCAADD', 'UKCACBB')",N,,,,11
"('UKCACBB', 'UKCADAA')",N,,,,11
"('UKCADAA', 'UKCADAC')",N,,,,11
"('UKCADAC', 'UKCADCA')",N,,,,11
"('UKCADCA', 'UKCADCB')",N,,,,8
"('UKCADCB', 'UKCADCA')",N,,,,8
