label,pair,lF,PF,F1,F2,S1,S2,,,,,,,,,,,,,,,,,,,
UJBDDDC,"('UJBDDDA', 'UJBDDDC')",27,11,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UJDBBBA,"('UJBDDDC', 'UJDBBBA')",48,11,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UJDBBBB,"('UJDBBBA', 'UJDBBBB')",22,10,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UJDBBBD,"('UJDBBBB', 'UJDBBBD')",24,10,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UJDBBDB,"('UJDBBBD', 'UJDBBDB')",47,11,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCAACA,"('UJDBBDB', 'UKCAACA')",48,24,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCAACB,"('UKCAACA', 'UKCAACB')",48,24,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCAADA,"('UKCAACB', 'UKCAADA')",19,7,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCAADC,"('UKCAADA', 'UKCAADC')",48,7,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCAADD,"('UKCAADC', 'UKCAADD')",24,11,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCACBB,"('UKCAADD', 'UKCACBB')",34,11,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCADAA,"('UKCACBB', 'UKCADAA')",24,11,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCADAC,"('UKCADAA', 'UKCADAC')",24,11,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCADCA,"('UKCADAC', 'UKCADCA')",43,11,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCADCB,"('UKCADCA', 'UKCADCB')",21,8,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCADCA,"('UKCADCB', 'UKCADCA')",43,8,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCADCC,"('UKCADCA', 'UKCADCC')",11,7,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCADCD,"('UKCADCC', 'UKCADCD')",14,8,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCCBAB,"('UKCADCD', 'UKCCBAB')",15,9,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCCBAA,"('UKCCBAB', 'UKCCBAA')",12,9,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCCBAC,"('UKCCBAA', 'UKCCBAC')",12,9,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCCBCA,"('UKCCBAC', 'UKCCBCA')",19,9,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCCBCC,"('UKCCBCA', 'UKCCBCC')",12,4,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCCDAA,"('UKCCBCC', 'UKCCDAA')",8,4,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCCDAC,"('UKCCDAA', 'UKCCDAC')",11,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
UKCCDCA,"('UKCCDAC', 'UKCCDCA')",2,1,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
UKCCDCC,"('UKCCDCA', 'UKCCDCC')",3,1,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
UKCCCDD,"('UKCCDCC', 'UKCCCDD')",3,1,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
UKCCCDB,"('UKCCCDD', 'UKCCCDB')",3,1,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
UKCCCDA,"('UKCCCDB', 'UKCCCDA')",8,1,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
UKCCCDC,"('UKCCCDA', 'UKCCCDC')",9,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKAAABA,"('UKCCCDC', 'TKAAABA')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKAAABC,"('TKAAABA', 'TKAAABC')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKAAADA,"('TKAAABC', 'TKAAADA')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKAAADC,"('TKAAADA', 'TKAAADC')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKAACBA,"('TKAAADC', 'TKAACBA')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKAACBC,"('TKAACBA', 'TKAACBC')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKAACDA,"('TKAACBC', 'TKAACDA')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
